								 19,270,657,472 	 19,270,543,621 	 113,851 	 113,185 			 112,637 			 111,367 			 113,564 			 119,748 			
키값	플랜트	사업부	구분	자재코드	자재명	자재유형	내수/수출	단위			23.03계획			23.04계획			23.05계획			23.06계획			23.07 계획			
									 재고금액 	 재고 	"생산
/입고"	"판매
/출고"	재고	"생산
/입고"	"판매
/출고"	재고	"생산
/입고"	"판매
/출고"	재고	"생산
/입고"	"판매
/출고"	재고	"생산
/입고"	"판매
/출고"	재고	비고
	4100	파인켐	DAMA 20KG 의약중간체	DAM0000B	DAMA 20kg 의약중간체	BULK	벌크	KG	 372,886,133 	 6,260 	 5,194 	 9,160 	 2,294 	 5,194 	 4,500 	 2,988 	 5,194 	 5,000 	 3,182 	 5,194 	 5,000 	 3,376 	 7,271 	 5,000 	 5,647 	
	4100	파인켐	DATMA 20KG 의약중간체	DTM0020D00	DATMA 20kg 의약중간체	FERT	내수	KG	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	DCZ 원제-살균제	DCZ0000D00	DCZ 원제-살균제	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	DM 원제-살충제	DMD0000D00	DM 원제-살충제	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	DMSC(IKF-916 반제품)	DMS0000D	DMSC(IKF-916 반제품)	HALB	반제품	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4100	파인켐	DP14(DP18 반제품_1)	TAP0000D	DP14(DP18 반제품_1)	HALB	반제품	KG	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4500	파인켐	DP18(DP72 반제품_1)	DPI0000D	DP18(DP72 반제품_1)	BULK	벌크	KG	 1,702,866,118 	 3,989 	 - 	 - 	 3,989 	 2,538 	 2,012 	 4,516 	 - 	 1,000 	 3,516 	 2,538 	 1,640 	 4,414 	 - 	 1,000 	 3,414 	
	4100	파인켐	DP37(DP57 반제품_1)	NFP0000D	DP37(DP57 반제품_1)	HALB	반제품	KG	 1,781,731,572 	 7,032 	 4,689 	 1,494 	 10,227 	 - 	 2,988 	 7,239 	 4,689 	 2,988 	 8,940 	 - 	 2,988 	 5,952 	 4,689 	 3,735 	 6,905 	
	4500	파인켐	DP57(DP72 반제품_2)	DPF0000D	DP57 (DP72 반제품_2)	BULK	벌크	KG	 6,346,974,033 	 4,677 	 686 	 350 	 5,013 	 1,372 	 1,960 	 4,425 	 1,372 	 700 	 5,096 	 1,372 	 1,750 	 4,718 	 1,715 	 1,050 	 5,383 	
	4100	파인켐	DP58(DP57 반제품_3)	BAN0000D	DP58(DP57 반제품_3)	HALB	반제품	KG	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4100	파인켐	DP08(DP57 반제품_2)	BAZ0000D	DP08(DP57 반제품_2)	HALB	반제품	KG	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4500	파인켐	DP60	DPX1000D	DP60 (Gemigliptin-1st 반제품)	HALB	반제품	KG	 1,512,739,924 	 1,249 	 - 	 797 	 452 	 919 	 693 	 678 	 - 	 - 	 678 	 1,148 	 924 	 902 	 - 	 231 	 671 	
	4500	파인켐	DP60 HEEL	DHX1000D	DP60 Heel	HALB	반제품	KG	 49,958,967 	 43 	 - 	 - 	 43 	 - 	 - 	 43 	 - 	 - 	 43 	 - 	 - 	 43 	 - 	 - 	 43 	
	4500	파인켐	DP67 (GEMIGLIPTIN-2ND 반제품)	DPY1000D	DP67 (Gemigliptin-2nd 반제품)	HALB	반제품	KG	 496,346,302 	 392 	 732 	 655 	 469 	 637 	 218 	 887 	 - 	 218 	 668 	 849 	 437 	 1,081 	 212 	 874 	 419 	
	4500	파인켐	DP67 HEEL	DHY1000D	DP67 Heel	HALB	반제품	KG	 23,341,401 	 19 	 - 	 - 	 19 	 - 	 - 	 19 	 - 	 - 	 19 	 - 	 - 	 19 	 - 	 - 	 19 	
	4500	파인켐	DP72	DPS1020D01	DP72	FERT	수출	KG	 1,009,047,643 	 646 	 647 	 215 	 1,079 	 216 	 430 	 864 	 216 	 430 	 650 	 432 	 215 	 867 	 863 	 1,500 	 230 	
	4500	파인켐	DV68 (VALSARTAN-2ND 반제품)	DVP1000D	DV68 (Valsartan-2nd 반제품)	HALB	반제품	KG	 102,236,915 	 115 	 400 	 199 	 315 	 200 	 398 	 117 	 200 	 - 	 317 	 - 	 199 	 118 	 200 	 199 	 119 	
	4500	파인켐	DV70 (VALSARTAN-1ST 반제품)	DVC1000D	DV70 (Valsartan-1st 반제품)	HALB	반제품	KG	 514,560,553 	 981 	 - 	 470 	 511 	 - 	 235 	 276 	 256 	 235 	 297 	 256 	 - 	 553 	 256 	 235 	 575 	
	4500	파인켐	DV71 MILLING(VALSARTAN)	DVM1020D00	DV71 milling(Valsartan)	FERT	내수	KG	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4500	파인켐	DV71(VALSARTAN)	DVA1020D00	DV71(Valsartan)	FERT	내수	KG	 464,898,390 	 389 	 189 	 190 	 388 	 378 	 190 	 576 	 - 	 190 	 386 	 189 	 - 	 575 	 189 	 190 	 574 	
	4100	파인켐	AM03 50kg 의약중간체	FAM0050D00	AM03 50kg 의약중간체	FERT	내수	KG	 71,465,274 	 763 	 - 	 - 	 763 	 - 	 - 	 763 	 - 	 - 	 763 	 - 	 - 	 763 	 - 	 - 	 763 	
	4000	파인켐	EBX 원제-살균제	EBX0000D00	EBX 원제-살균제	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	EFP원제-살충제	EFP0000D00	EFP원제-살충제	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	EFP원제-살충제	ETF0010D00	EFP	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	ESA	ESA0000D00	ESA	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	FDL 원제 - 살균제	FDL0000D00	FDL 원제 - 살균제	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	FEK-IPS	FEK0000D	FEK-IPS	HALB	반제품	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
	4000	파인켐	FP 원제-살충제(액상)	FPD0000D00	FP 원제-살충제(액상)	FERT	내수	KG			 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
