LZ-Q-564,LZ-Q-570,LZ-Q-575,LZ-Q-578,LZ-Q-579,LZ-Q-582,LZ-Q-583,LZ-Q-584,LZ-Q-592,LZ-Q-601,LZ-Q-605,LZ-Q-607,LZ-Q-612,LZ-Q-638,LZ-Q-642,LZ-Q-643,LZ-Q-644,LZ-Q-646
99.992 ,100.048 ,100.042 ,100.009 ,99.968 ,100.070 ,100.048 ,100.041 ,99.943 ,99.947 ,100.009 ,100.079 ,100.004 ,100.017 ,99.997 ,100.006 ,100.013 ,99.960 
99.974 ,100.040 ,100.031 ,99.992 ,99.956 ,100.053 ,100.022 ,100.520 ,99.935 ,100.031 ,100.028 ,100.057 ,100.026 ,99.995 ,100.020 ,99.983 ,99.991 ,99.957 
99.963 ,100.026 ,100.006 ,99.973 ,99.959 ,100.053 ,99.998 ,100.038 ,100.080 ,99.981 ,100.015 ,100.048 ,99.947 ,99.989 ,99.992 ,99.977 ,99.983 ,99.938 
