GW-0156,GW-0157,GW-0158,GW-0159,GW-0160
3.009 ,3.004 ,2.996 ,3.000 ,2.998 
3.003 ,3.003 ,3.005 ,3.000 ,3.001 
3.009 ,3.008 ,3.001 ,3.004 ,3.009 
