배치번호	입고 Lot	업체 Lot	"순도
(%)"	"투입량
(kg)"	"순수량
(kg)"
	F240315016	CC2310304	91.94%	26.7	24.5
	F240812032	CC2401018	92.02%	8.1	7.5
IKF24049	F240812004	CC2312371	91.84%	560	514.3
	F240812005	CC2312372	92.12%	840	773.8
	F240812032	CC2401018	92.02%	34.1	31.4
IKF24050	F240812006	CC2312373	91.99%	560	515.1
	F240812007	CC2312374	91.95%	840	772.4
	F240812032	CC2401018	92.02%	34.8	32.0
IKF24051	F240812008	CC2312375	92.04%	560	515.4
	F240812009	CC2312376	92.11%	840	773.7
	F240812032	CC2401018	92.02%	33	30.4
IKF24052	F240812010	CC2312377	92.06%	560	515.5
	F240812011	CC2312378	92.05%	840	773.2
	F240812032	CC2401018	92.02%	33.4	30.7
IKF24053	F240812012	CC2312379	92.11%	560	515.8
	F240812013	CC2312380	91.94%	840	772.3
	F240812032	CC2401018	92.02%	34.1	31.4
IKF24054	F240812014	CC2312381	91.93%	560	514.8
	F240812015	CC2401001	91.92%	840	772.1
	F240812032	CC2401018	92.02%	35.4	32.6
IKF24055	F240812016	CC2401002	91.68%	560	513.4
	F240812017	CC2401003	91.73%	840	770.5
	F240812032	CC2401018	92.02%	38.6	35.5
IKF24056	F240812018	CC2401004	91.76%	560	513.9
	F240812019	CC2401005	91.83%	840	771.4
	F240812032	CC2401018	92.02%	37.3	34.3
IKF24057	F240812020	CC2401006	92.08%	560	515.6
	F240812021	CC2401007	92.11%	840	773.7
	F240812032	CC2401018	92.02%	32.7	30.1
IKF24058	F240812022	CC2401008	92.14%	560	516.0
	F240812023	CC2401009	92.05%	840	773.2
	F240812032	CC2401018	92.02%	32.9	30.3
IKF24059	F240812024	CC2401010	91.96%	560	515.0
	F240812025	CC2401011	92.07%	840	773.4
	F240812032	CC2401018	92.02%	33.8	31.1
IKF24060	F240812026	CC2401012	92.08%	560	515.6
	F240812027	CC2401013	91.87%	840	771.7
	F240812032	CC2401018	92.02%	34.9	32.1
IKF24061	F240812028	CC2401014	91.77%	560	513.9
	F240812029	CC2401015	91.97%	840	772.5
	F240812032	CC2401018	92.02%	35.9	33.0
IKF24062	F240812030	CC2401016	92.00%	560	515.2
	F240812031	CC2401017	92.01%	840	772.9
