Batch No. 	EA증류/분석			IKF-916 반응 분석					RINSE					건조시간				포장		제품 분석				
	CCIM	IKF-916	ISO-916	반응시간	내부온도	CCIM	IKF-916	ISO-916	CCIM-AM	CCIM	IKF-916	ISO-916	3C	건조시간	내부온도	수분	MeOH	생산량	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C
IKF24055	7.6	74.2	18.2	1:30	76.037	7.6	74.2	18.2	0.27	0.56	98.05	0	1	9:00	42.793	0.03	0.1	1700	86.346	0.01	0.07	98.88	0	0.97
IKF24055				5:00	76.38	3	88.3	8.7																
IKF24055				6:30	75.324	3.9	90.1	6																
IKF24055				7:30	75.098	3.9	91.9	4.2																
IKF24055																								
IKF24056	7.8	71.4	20.8	1:30	76.63	7.8	71.4	20.8	0.26	0.62	98.02	0	0.99	9:00	50.916	0.08	0.11	1700	86.34	0.01	0.1	98.85	0	0.97
IKF24056				5:00	76.093	2.7	87.4	9.9																
IKF24056				6:30	75.231	3.9	90.8	5.4																
IKF24056				7:30	75.043	4.2	91.3	4.5																
IKF24056																								
IKF24057	10.6	72.5	16.9	1:30	76.782	10.6	72.5	16.9	0.18	1.14	97.57	0	0.97	9:00	43.985	0.05	0.16	1800	91.429	0.01	0.11	98.88	0	0.94
IKF24057				5:00	76.194	4.5	88.2	7.4																
IKF24057				6:30	75.504	5.1	90.5	4.5																
IKF24057				7:30	75.401	5.5	90.5	4																
IKF24057																								
IKF24058	7.4	74.5	18.1	1:30	76.314	7.4	74.5	18.1	0.22	0.67	98	0	1.01	9:00	47.104	0.07	0.15	1700	86.376	0.01	0.08	98.87	0	0.98
IKF24058				5:00	74.472	2.6	87.9	9.5																
IKF24058				6:30	74.953	3.4	90.3	6.3																
IKF24058				7:30	74.92	3.9	91.2	4.9																
IKF24058																								
IKF24059	7.9	66.1	26	1:30	76.21	7.9	66.1	26	0.16	1.08	97.68	0	1.03	9:00	49.916	0.07	0.12	1800	91.457	0.01	0.1	98.83	0	0.99
IKF24059				5:00	74.177	2.5	86.1	11.4																
IKF24059				6:30	74.435	2.8	90.5	6.7																
IKF24059				7:30	74.25	3.4	91.3	5.3																
IKF24059				8:30	74.251	3.2	93.1	3.7																
IKF24060	6.8	72.7	20.5	1:30	75.761	6.8	72.7	20.5	0.26	0.74	97.93	0	1.02	9:30	43.424	0.13	0.23	1700	86.35	0.01	0.1	98.82	0	0.99
IKF24060				5:00	75.022	2.5	87.2	10.3						10:00	43.945	0.09								
IKF24060				6:30	74.505	4.2	89.5	6.3																
IKF24060				7:30	74.489	3.1	92.1	4.8																
IKF24060																								
IKF24061	8	73.6	18.4	1:30	75.641	8	73.6	18.4	0.27	0.63	98.09	0	0.96	9:00	45.71	0.13	0.16	1800	91.423	0.01	0.09	98.92	0	0.91
IKF24061				5:00	75.69	4.8	85.9	9.2						10:00	47.147	0.1								
IKF24061				6:30	75.181	4.2	90.8	4.9																
IKF24061				7:10	75.06	5	90	5																
IKF24061																								
IKF24062	8.9	75.2	15.9	1:30	76.411	8.9	75.2	15.9	0.35	1	97.64	0	0.92	9:00	45.285	0.18	0.17	1800	91.425	0.01	0.09	98.89	0	0.91
IKF24062				5:00	75.441	4.3	85.2	10.6						10:10	46.779	0.1								
IKF24062				6:30	75.026	4.3	89.9	5.8																
IKF24062				7:30	75.008	4.8	90.4	4.7																
IKF24062																								
IKF24062H1																		115						
IKF24062H1																								
IKF24062H1																								
IKF24062H1																								
IKF24062H1																								
IKF24063	9.1	70.9	20	5:00	76.805	2.9	87.5	9.5	0.45	0.68	97.79	0	0.93	9:00	47.874	0.09	0.13	1600	3034.534	0.02	0.11	98.88	0	0.9
IKF24063				6:30	75.777	3.9	91.1	5																
IKF24063				7:30	75.588	4.4	91.1	4.4																
IKF24063																								
IKF24063																								
IKF24064	10.2	72.9	16.9	5:00	76.229				0.33	0.61	98.1	0	0.87	9:00	45.16	0.05	0.17	1700	3684.91	0.02	0.1	98.94	0	0.84
IKF24064				6:30	75.15	3.8	89	7.2																
IKF24064				7:30	75.072	4.6	89.3	6.1																
IKF24064				8:30		4.4	90.5	5.1																
IKF24064																								
IKF24065	8.5	75	16.5	5:00	77.412	3.3	87	9.7	0.33	0.47	98.22	0	0.88	9:00	41.176	0.21	0.23	1700		0.03	0.08	98.94	0	0.95
IKF24065				7:00	77.748	4.2	91.1	4.7						10:00	43.059	0.17								
IKF24065																								
IKF24065																								
IKF24065																								
IKF24066	8.9	77	14.1	5:00	76.903	2.6	88.1	9.3	0.42	0.67	97.8	0	0.95	9:00	44.795	0.13	0.13	1800	91.423	0.03	0.09	98.81	0	1
IKF24066				7:00	75.317	3.8	91.3	4.9						10:30	38.177	0.11								
IKF24066																								
IKF24066																								
IKF24066																								
IKF24067	7.1	75.2	17.6	5:00	76.427	2.2	87.9	9.9	0.27	0.71	97.96	0	0.95	9:00	44.795	0.04	0.19	1800	91.421	0.02	0.12	98.85	0	1.01
IKF24067				7:00	74.974	3.2	91.2	5.6																
IKF24067				8:00	74.837	3.4	92.3	4.3																
IKF24067																								
IKF24067																								
IKF24068	11	76.2	12.8	5:00	77.21	3.9	88.9	7.2	0.27	0.81	98.01	0	0.87	9:00	43.078	0.06	0.13	1685	85.58	0.02	0.11	98.96	0	0.4
IKF24068				7:00	75.692	4.8	91.2	4																
IKF24068																								
IKF24068																								
IKF24068																								
IKF24069	13.7	74.5	11.7	5:00	76.38	6.2	84.6	9.1	0.21	0.63	98.32	0	0.81	9:20	41.872	0.07	0.16	1700	86.346	0.02	0.13	99.07	0	0.78
IKF24069				7:00	76.34	8.2	86.5	5.3																
IKF24069				8:10	75.807	7.3	88.5	4.2																
IKF24069																								
IKF24069																								
IKF24070	15	68.8	16.2	5:00	75.979	3.6	84.7	11.7	0.26	0.63	98.22	0	0.86	9:00	45.501	0.05	0.18	1800	91.421	0.02	0.16	98.92	0	0.83
IKF24070				7:00	75.149	4.6	89.8	5.6																
IKF24070				8:00	75.114	4.8	90.8	4.4																
IKF24070																								
IKF24070																								
IKF24071	6.6	77.1	16.2	5:04	77.606	2.5	87.5	9.9	0.27	0.77	97.9	0	0.89	8:30	43.553	0.09	0.17	1901	96.55	0.02	0.12	98.93	0	0.87
IKF24071				6:34	75.715	3	90.1	6.9																
IKF24071				7:34	75.718	3.3	91.7	5																
IKF24071				8:14	75.599	3.7	91.2	5																
IKF24071																								
IKF24071																								
IKF24072	6.3	73.4	20.3	5:00	76.613	1.6	85	13.4						9:30	45.987	0.05	0.12	1800	91.423	0.02	0.11	98.95	0	0.88
IKF24072				7:00	74.365	2.2	89	8.8																
IKF24072				8:00	74.204	2.5	90.7	6.8																
IKF24072				9:00	74.034	3.2	90	6.8																
IKF24072				10:00	74.35	3.4	91.5	5.1																
IKF24072				10:40	74.108	3.4	92	4.6																
IKF24073	7.1	70.9	22	5:00	76.781	1.7	83.9	14.3	0.17	0.52	98.31	0	0.96	8:30	38.109	0.07	0.24	1800	91.419	0.02	0.11	98.89	0	0.93
IKF24073				7:00	74.432	2.4	88	9.6																
IKF24073				8:00	73.552	2.7	90.5	6.8																
IKF24073				9:00	73.215	2.7	91.9	5.4																
IKF24073				10:00	73.58	3.7	90.9	5.4																
IKF24073				11:00	72.9	3.5	92	4.5																
IKF24074	7.4	71.2	21.4	5:00	76.301	1.9	83.8	14.3	0.26	0.42	98.35	0	0.9	8:30	40.36	0.12	0.26	1800	91.42	0.02	0.11	98.87	0	0.95
IKF24074				7:00	73.706	2.2	90.6	7.2																
IKF24074				8:00	73.983	2.8	91.2	6																
IKF24074				9:00	73.855	3.3	91.1	5.6																
IKF24074				10:00	74.739	4.2	90.3	5.6																
IKF24074				10:45	74.952	3.8	91.8	4.4																
IKF24075	5.2	74.4	20.3	5:00	76.67	1.3	85.6	13.2	0.22	0.42	98.4	0	0.9	33:00:00	44.974	0.07	0.007	1800	91.421	0.02	0.12	98.88	0	0.98
IKF24075				7:00	73.99	1.9	89.7	8.4																
IKF24075				8:00	73.52	2.2	91	6.8																
IKF24075				9:00	73.245	2.5	92.6	4.9																
IKF24075																								
IKF24075																								
IKF24076	8.4	72.2	19.4	5:00	76.808	1.8	88.2	10	0.25	0.73	98.11	0	0.84	9:30	40.765	0.07	0.16	1800	91.425	0.03	0.1	98.94	0	0.93
IKF24076				7:00	75.458	2.6	92	5.4																
IKF24076				8:00	74.333	2.9	92.5	4.6																
IKF24076																								
IKF24076																								
IKF24076																								
IKF24077	6.2	69.6	24.1	5:00	77.233	1.3	86.3	12.4	0.37	0.42	98.22	0	0.93	33:00:00	41.909	0.09	0.22	1800	91.419	0.02	0.12	98.89	0	0.97
IKF24077				7:00	74.198	1.8	90.2	7.9																
IKF24077				8:00	75.208	2.3	91.5	6.2																
IKF24077				9:00	74.376	2.6	92.4	5																
IKF24077																								
IKF24077																								
IKF24078	9.3	74.8	16	5:00	77.05	2.3	87.8	9.8	0.47	0.61	98.06	0	0.84	9:30	41.917	0.05	0.18	1900	96.503	0.03	0.11	98.96	0	0.9
IKF24078				7:00	75.621	3.3	91.2	5.5																
IKF24078				8:00	75.006	3.5	92.1	4.4																
IKF24078																								
IKF24078																								
IKF24078																								
IKF24079	7.1	81.4	11.5	6:50	75.467	4.6	89.6	5.8	0.44	0.38	98.34	0.68	0	9:00	41.309	0.05	0.13	1700	86.343	0.02	0.12	99.15	0	0.7
IKF24079				7:50	76.452	5.4	89.8	4.8																
IKF24079				8:50	76.395	5.8	89.4	4.8																
IKF24079																								
IKF24079																								
IKF24079																								
IKF24080	8.8	69.7	21.5		74.413	2.4	86.2	11.4	0.45	0.52	98.07	0	0.89	9:00	37.791	0.09	0.23	1800	91.425	0.02	0.13	98.95	0	0.89
IKF24080				7:00	73.936	3.5	89.2	7.3																
IKF24080				8:00	74.026	3.6	90.4	6																
IKF24080				9:30	74.1	4.1	91.3	4.6																
IKF24080																								
IKF24080																								
IKF24081	9.2	75.3	15.5	5:00	77.868	4	87.8	8.2	0.39	0.4	98.43	0	0.71	9:00	38.902	0.07	0.17	1800	91.425	0.03	0.14	99.12	0	0.71
IKF24081				6:30	76.305	5.3	89.3	5.4																
IKF24081				7:30	75.916	6.1	89.2	4.7																
IKF24081																								
IKF24081																								
IKF24081																								
IKF24082	7.4	74.9	17.7	5:00	77.434	2.4	87.5	10.2	0.43	0.47	98.19	0	0.84	8049:00:00	45.012	0.13	0.18	1800	91.423	0.02	0.11	98.93	0	0.93
IKF24082				6:30	75.274	2.9	91	6.1						8050:20:00	42.636	0.03								
IKF24082				7:20	75.264	3.1	92	4.8																
IKF24082																								
IKF24082																								
IKF24082																								
IKF24083	8.5	72.4	19.1	5:00	75.573	2	87.8	10.3	0.37	0.56	98.13	0	0.85	9:00	34.267	0.03	0.29	1800	91.423	0.03	0.11	98.69	0.09	1.07
IKF24083				6:30	74.807	2.6	90.1	7.3																
IKF24083				7:30	74.528	2.8	91.3	5.9																
IKF24083				8:10	74.716	2.8	92.3	4.9																
IKF24083																								
IKF24083																								
IKF24084	9.2	76.1	14.7	5:00	77.907	2.9	89	8.1	0.37	0.48	98.28	0	0.78	9:00	43.226	0.09	0.21	1800	91.423	0.04	0.1	98.96	0	0.91
IKF24084				6:40	76.371	3.4	92.4	4.1																
IKF24084				7:30	74.886	3.7	92.5	3.7																
IKF24084																								
IKF24084																								
IKF24084																								
IKF24085	6.9	76.9	16.2	5:00	76.485	1.8	87.8	10.5	0.45	0.69	97.81	0	0.96	9:00	38.55	0.16	0.3	1700	86.344					
IKF24085				6:30	75.092	2.4	90.8	6.8						10:00	41.791	0.14								
IKF24085				8:00	74.799	2.8	92.6	4.6						10:50	42.546	0.1								
IKF24085																								
IKF24085																								
IKF24085																								
IKF24086	6.4	73.8	19.9	5:00	75.859	1.5	87.1	11.4	0.72	0.66	97.4	0	1.06	9:00	38.046	0.05	0.21	1800	91.425	0.02	0.12	98.9	0	0.93
IKF24086				6:30	74.13	2.1	89.3	8.6																
IKF24086				7:40	73.875	2.3	91.1	6.5																
IKF24086				8:40	73.161	2.5	91.8	5.8																
IKF24086				9:20	73.167	2.9	91.8	5.3																
IKF24086				10:00	59.019	2.8	92.2	5																
