Batch No. 	EA증류/분석			IKF-916 반응 분석					RINSE					건조시간				포장		제품 분석				
	CCIM	IKF-916	ISO-916	반응시간	내부온도	CCIM	IKF-916	ISO-916	CCIM-AM	CCIM	IKF-916	ISO-916	3C	건조시간	내부온도	수분	MeOH	생산량	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C
IKF23123	7.6	74	18.5	05:00	75.396	3	87.7	9.3	0.27	0.8	97.65	0	1.01	09:00	48.697	0.05	0.15	1800	91.421	0.02	0.1	98.71	0	1.03
IKF23123				07:00	75.748	3.5	91.8	4.6																
IKF23123																								
IKF23123																								
IKF23123																								
IKF23123																								
IKF23124	4.6	72.3	23.1	05:00	75.54	1	15.3	83.7	0.24	0.76	97.56	0	1.09	09:00	47.7	0.1	0.1	1800	91.422	0.02	0.13	98.56	0.11	1.15
IKF23124				07:30	74.353	1.4	9.9	88.8																
IKF23124				09:30	74.274	2	7.6	90.4																
IKF23124				11:00	74.162	2.5	5.8	91.8																
IKF23124				12:00	74.681	2.6	4.6	92.8																
IKF23124																								
IKF23125	5.8	74	20.2	05:00	76.184	1.9	88.3	9.9	0.21	0.51	97.83	0	1.09	09:00	49.588	0.15	0.23	1800	91.423	0.02	0.02	98.5	0	1.1
IKF23125				07:00	75.29	2.2	91.8	6						10:00	46.093	0.04								
IKF23125				07:30	75.245	2.4	92.5	5.1																
IKF23125																								
IKF23125																								
IKF23125																								
IKF23126	4.6	74.7	20.7	05:00	77.485	1.3	87.8	10.9	0.18	0.53	98.02	0	1.04	09:00	44.898	0.09	0.17	1800	91.419	0.02	0.1	98.7	0	1.06
IKF23126				07:00	76.726	2.1	91.7	6.2																
IKF23126				08:00	76.652	2.4	92.7	4.8																
IKF23126																								
IKF23126																								
IKF23126																								
IKF23127	5.4	77.7	16.9	05:00	77.654	2.4	88.6	9	0.2	0.51	98.01	0	1.06	09:00	45.185	0.1	0.19	1800	91.424	0.02	0.09	98.69	0	1.05
IKF23127				07:00	76.493	3.3	92	4.8																
IKF23127																								
IKF23127																								
IKF23127																								
IKF23127																								
IKF23128	10.8	68.2	21.1	05:00	76.89	2.8	87.9	9.4	0.33	0.61	97.71	0	1.01		43.247	0.07	0.13	1900	96.498	0.03	0.12	98.68	0	1.01
IKF23128				07:00	75.31	4	91.3	4.8																
IKF23128																								
IKF23128																								
IKF23128																								
IKF23128																								
IKF23128H1																		125						
IKF24001	4.4	81.3	14.3	5:00	77.405	3.1	89.4	7.5	0.21	0.87	97.73	0	0.99	9:00	38.644	0.1	0.19	1600	81.263	0.01	0.08	98.86	0	0.96
IKF24001				7:00	76.657	4	92	4																
IKF24001																								
IKF24001																								
IKF24001																								
IKF24002	7.9	73.6	18.5	5:00	78.02	5.1	88.6	6.3	0.3	0.43	98.31	0	0.85	9:00	43.099			1675	85.076	0.01	0.1	98.96	0	0.85
IKF24002				7:00	76.538	6.7	89.1	4.3																
IKF24002																								
IKF24002																								
IKF24002																								
IKF24003	6.4	73	20.6	5:00	77.645	4	89.2	6.8	0.3	0.39	98.27	0	0.94	9:00	45.567	0.14	0.15	1700	86.345	0.02	0.09	98.12	0	0.92
IKF24003				6:00	76.909	4.6	89.9	5.5						10:00	46.123	0.11								
IKF24003				7:00	75.815	5.3	90.3	4.3																
IKF24003																								
IKF24003																								
IKF24004	7.4	71.9	20.8	5:00	75.972	2.8	88	9.2	0.23	0.41	98.26	0	1.01	9:00	42.855	0.11	0.19	1800	91.423	0.02	0.09	98.84	0	0.99
IKF24004				6:30	76.21	3.3	91	5.7																
IKF24004				7:30	75.63	3.9	91.5	4.6																
IKF24004																								
IKF24004																								
IKF24005	7.1	73	20	5:00	76.846	2.8	89.4	7.9	0.16	0.31	98.47	0	0.96	9:00	42.569	0.12	0.21	1800	91.426	0.01	0.09	98.85	0	0.96
IKF24005				6:30	76.021	4	90.2	5.8																
IKF24005				7:30	75.682	3.8	91.8	4.3																
IKF24005																								
IKF24005																								
IKF24006	9.6	71.1	19.9	5:00	77.102	4.3	88.1	7.6	0.19	0.42	98.39	0	0.91	9:00	39.371	0.11	0.16	1800	91.424	0.01	0.09	98.91	0	0.91
IKF24006				6:30	76.649	5	90.4	4.6																
IKF24006				7:20	60.539	5.2	90.7	4.1																
IKF24006																								
IKF24006																								
IKF24007	8.2	71.3	20.5	1:30	77.648	8.2	71.3	20.5	0.17	0.4	98.38	0	0.97	9:50	40.136	0.15	0.28	1800	91.421	0.01	0.09	98.88	0	0.97
IKF24007				5:00	76.826	2.5	87.6	9.9						10:40	43.199	0.06	0.18							
IKF24007				6:30	75.422	3.1	91.1	5.8																
IKF24007				7:30	74.961	3.7	91.1	5.1																
IKF24007																								
IKF24008	8.2	71.5	20.3	5:00	76.507	2.6	87.2	10.1	0.21	0.6	98.18	0	0.91	9:00	46.279	0.02	0.19	1700	86.347					
IKF24008				6:30	76.47	3	91.6	5.4																
IKF24008				7:30	77.141	3.4	92	4.6																
IKF24008																								
IKF24008																								
IKF24009	7.6	74.4	18	5:00	76.758	3.5	88.8	7.7	0.13	0.37	98.57	0	0.87	9:00	45.036	0.01	0.15	1800	91.422	0.12	0.08	98.85	0	0.88
IKF24009				6:30	76.158	4.1	91.8	4.1																
IKF24009				7:30	76.773	4.7	91.3	4																
IKF24009																								
IKF24009																								
IKF24010	4.7	79.5	15.8	5:00	76.394	1.6	88.4	10	0.16	0.53	0	1.01	98.19	9:00	43.597	0.03	0.17	1800	91.421	0.01	0.08	98.81	0	1.02
IKF24010				6:30	75.451	1.9	91.5	6.6																
IKF24010				7:30	75.96	2.4	92.4	5.3																
IKF24010				8:30	63.643	2.6	93	4.4																
IKF24010																								
IKF24011	8.4	77	14.7	5:00	77.393	4	90.2	5.8	0.12	0.46	98.43	0	0.88	9:00	43.378	0.02	0.16	1700	86.346	0.01	0.09	98.94	0	0.89
IKF24011				6:30	75.972	4.7	91.2	4.1																
IKF24011				7:20	61.234	5.1	91	3.9																
IKF24011																								
IKF24011																								
IKF24012	6.3	72.7	21.1	5:00	77.05	1.4	87.2	11.3	0.2	0.41	98.19	0	1.09	9:00	41.959	0.09	0.19	1800	91.421	0.02	0.1	98.76	0	1.06
IKF24012				6:30	75.524	1.8	90.4	7.8																
IKF24012				7:50	75.33	2.4	91.5	6																
IKF24012				8:40	74.858	2.8	91.9	5.4																
IKF24012				9:30	61.3	2.9	92.7	4.4																
IKF24013	6.6	74.2	19.1	5:00	77.952	1.8	87.3	10.8	0.11	0.49	98.24	0	1.05	9:00	42.014	0.04	0.23	1800	91.423	0.02	0.09	98.78	0	1.06
IKF24013				6:30	75.76	2.4	91.6	6.1																
IKF24013				7:30	75.431	2.7	92.3	4.9																
IKF24013				8:10	74.712	3.6	91.1	5.4																
IKF24013																								
