배치번호	반응/증류/결정화/포장								반응/증류/결정화/포장							반응/증류/결정화/포장										반응/증류/결정화/포장			반응/증류/결정화/포장						반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장		반응/증류/결정화/포장														반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장												
	원료투입								승온/DMSC 적가							EA증류/분석										EA증류/반응/샘플링			원료투입						Reflux/이송									결정화	여과		RINSE1														RINSE2									건조	포장												
	투입량[K2CO3(P)]	원료 투입 시작	투입량[EtOAc]	투입량[D-EA]	CCIM 투입량 합계[CCIM]	CCIM 순수량 합계	CCIM 평균 순도	원료 투입 시간	승온 시간	Reflux 시간	적가 시작 내부온도	DMSC 투입량 합계[DMSC]	Taverage	적가 종료 내부온도	DMSC 적가 시간	투입량[EtOAc]	투입량[D-EA]	EA 상압증류 시간	샘플링 시각	CCIM	IKF-916	ISO-916	투입량[K2CO3(P)]	DMSC 투입량 합계[DMSC]	원료 투입 시간	EA 진공증류 시간	반응/샘플링 시간	Sub total 시간	원료 투입 시작 내부온도	투입량[D-EA]	투입량[EtOAc]	투입량[H2O]	원료 투입 종료 내부온도	원료 투입 시간	승온 시작 내부온도	승온 시간	Reflux 시작 내부온도	Reflux 시간	CW 냉각 시작 내부온도	CW 냉각 시간	이송 시작 내부온도	이송 시간	Sub total 시간	BR 냉각 시간	투입량[H2O]	여과/탈액 시간	투입량[H2O]	1차 H2O Rinse 시간	투입량[H2O]	2차 H2O Rinse 시간	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	MeOH Rinse 시간	CCIM-AM	CCIM	IKF-916	ISO-916	3C	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	Repulping 시간	투입량[D-MeOH]	투입량[MeOH]	MeOH Rinse 시간	Sub total 시간	건조 시간	이전 Batch 잔량	총 포장량	NET 수량	현 Batch 잔량	현 Batch 생산량	포장 시간	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C	Total 시간
IKF23113	950.0	2023-10-19 14:20		2,640.0	1,431.7	1,319.551	92.167	00:40	01:00	01:00	82.2	1,000.0	80.4	78.0	00:30	500.0		01:30	2023-10-19 19:00	6.67	56.87	31.16		100.0	00:10	02:30	02:00	09:50	76.0	1,070.0		3,000.0	60.5	00:10	58.9	01:10	68.7	01:00	72.2	03:50	40.7	00:50	07:00	04:30	800.0	01:40	2,000.0	01:30	2,000.0	01:30	1,040.0		38.0		01:00	0.21	0.4	98.05	0.0	1.07		2,930.0	4.2		01:30		1,300.0	02:30	09:40	09:00		1,800.0	1,800.0		1,800.0	00:40	91.419	0.02	0.09	98.67	0.0	1.08	40:40
IKF23114	950.0	2023-10-20 14:20		2,640.0	1,432.2	1,319.48	92.13	00:40	01:00	01:00	82.3	1,000.0	80.2	77.4	00:30	500.0		01:30	2023-10-20 19:00	5.6	68.9	25.5		100.0	00:10	02:30	05:00	12:50	75.6	1,070.0		3,000.0	31.3	00:40	31.2	01:00	67.3	01:00	72.4	02:50	44.4	01:00	06:30	01:30	800.0	02:00	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.21	0.67	97.8	0.0	1.06	2,930.0		4.2		02:00		1,300.0	02:30	10:00	10:00		1,800.0	1,800.0		1,800.0	01:00	91.424	0.01	0.11	98.73	0.0	1.04	41:50
IKF23115	950.0	2023-10-21 14:20	40.0	2,600.0	1,432.9	1,319.482	92.085	00:40	01:00	01:00	83.2	1,000.0	80.8	78.2	00:30	500.0		01:30	2023-10-21 19:00	6.0	71.0	22.9		100.0	00:10	02:40	04:00	12:10	77.4	1,070.0		3,000.0	31.4	00:40	32.4	01:00	67.3	01:00	72.6	02:50	39.5	00:40	06:10	02:20	800.0	02:00	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.17	0.63	97.9	0.0	1.09	2,930.0		4.2		01:30		1,300.0	01:50	08:50	11:00		1,800.0	1,800.0		1,800.0	00:40	91.424	0.0	0.12	98.69	0.0	1.06	41:10
IKF23116	950.0	2023-10-23 14:20		2,640.0	1,433.0	1,319.462	92.077	00:40	01:00	01:00	82.8	1,000.0	80.4	77.3	00:30	500.0		01:30	2023-10-23 19:00	4.7	73.3	21.9		100.0	00:10	02:30	05:00	13:20	77.0	1,070.0		2,800.0	33.6	00:45	33.1	00:55	67.3	01:00	72.5	02:10	42.9	00:30	05:20	05:40	800.0	02:00	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.3	0.69	97.68	0.0	1.06	2,930.0		4.2		01:30		1,300.0	02:50	09:50	10:00		1,900.0	1,900.0		1,900.0	00:30	96.504	0.01	0.11	98.63	0.0	1.08	44:40
IKF23117	950.0	2023-10-24 14:20		2,640.0	1,432.8	1,319.53	92.095	00:40	01:00	01:00	81.8	1,000.0	80.2	77.4	00:30	500.0		01:30	2023-10-24 19:00	7.4	63.2	29.5		100.0	00:10	02:40	03:20	11:00	62.8	1,070.0		2,800.0	38.0	00:50	37.5	00:50	67.5	01:00	72.4	03:20	39.4	00:40	06:40	01:30	800.0	02:20	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.28	0.7	97.63	0.0	1.07	2,930.0		4.2		01:30		1,300.0	02:50	10:10	09:00		1,800.0	1,800.0		1,800.0	00:40	91.42	0.01	0.13	98.61	0.0	1.09	39:00
IKF23118	950.0	2023-10-25 14:20		2,640.0	1,433.0	1,319.518	92.081	00:40	01:00	01:00	82.4	1,000.0	79.4	76.5	00:30	500.0		01:30	2023-10-25 19:00	6.0	77.8	16.2		100.0	00:10	02:40	03:00	11:10	71.9	1,070.0		2,800.0	63.0	00:30	63.0	01:20	70.5	01:00	71.4	03:20	40.9	00:50	07:00	03:00	800.0	02:20	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.25	0.66	97.8	0.0	0.98	2,930.0		4.2		01:30		1,300.0	02:50	10:10	10:00		1,800.0	1,800.0		1,800.0	00:30	91.421	0.01	0.11	98.69	0.0	1.02	41:50
IKF23119	950.0	2023-10-26 14:20		2,640.0	1,431.8	1,319.513	92.158	00:40	01:00	01:00	82.9	1,000.0	80.2	77.3	00:30	500.0		01:30	2023-10-26 19:00	7.8	71.3	20.9		100.0	00:10	02:40	02:50	11:00	60.6	1,070.0		2,800.0	63.5	00:30	63.4	01:10	68.9	01:00	72.3	03:50	35.8	00:50	07:20	02:40	800.0	02:20	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.12	0.65	98.06	0.0	0.96		2,930.0	4.2		01:30		1,300.0	02:46	09:36	10:00		1,700.0	1,700.0		1,700.0	00:40	86.342	0.01	0.09	98.82	0.0	0.93	41:16
IKF23120	950.0	2023-10-28 14:00		2,640.0	1,432.6	1,319.523	92.107	00:30	01:00	01:30	82.3	1,000.0	80.8	78.6	00:30	500.0	570.0	01:30	2023-10-28 19:00	4.9	79.1	16.0		100.0	00:20	02:30	03:10	11:30	74.7	1,070.0		2,800.0	33.1	00:40	32.6	01:00	69.1	01:00	72.5	03:20	41.6	01:00	07:00	05:20	800.0	01:00	2,000.0	01:20	2,000.0	01:30	1,040.0		38.0		01:00	0.3	0.85	97.66	0.0	1.02	2,930.0		4.2		01:30		1,300.0	02:30	08:50	10:00		1,800.0	1,800.0		1,800.0	01:00	91.421	0.01	0.1	98.74	0.0	1.0	43:40
IKF23121	950.0	2023-10-29 14:30		2,640.0	1,431.1	1,319.512	92.203	00:30	01:00	01:00	82.8	1,000.0	80.5	79.1	00:30	500.0		01:30	2023-10-29 19:00	5.6	75.2	19.2		100.0	00:20	02:30	04:20	12:10	73.2	1,070.0		3,000.0	32.3	00:30	34.4	01:10	67.7	01:00	72.3	02:50	40.5	00:50	06:20	01:40	800.0	01:50	2,000.0	01:10	2,000.0	01:40	1,040.0		38.0		01:00	0.24	0.65	97.78	0.0	1.1	2,930.0		4.2		01:30		1,300.0	02:30	09:40	10:00		1,800.0	1,800.0		1,800.0	01:00	91.422	0.02	0.09	98.66	0.0	1.07	40:50
IKF23122	950.0	2023-10-30 14:30		2,640.0	1,432.6	1,319.467	92.103	00:30	01:00	01:00	82.7	1,000.0	81.2	78.0	00:30	500.0		01:30	2023-10-30 19:00	5.9	72.3	21.8		100.0	00:20	02:30	03:55	11:45	66.1	1,070.0		3,000.0	30.0	00:35	30.0	01:10	68.9	01:00	72.2	03:00	41.7	01:00	06:45	02:00	800.0	01:50	2,000.0	01:20	2,000.0	01:40	1,040.0		38.0		01:00	0.2	0.65	97.89	0.0	1.03	2,930.0		4.2		01:30		1,300.0	02:30	09:50	10:00		1,800.0	1,800.0		1,800.0	01:00	91.425	0.01	0.1	98.71	0.0	1.06	41:20
