배치번호	반응/증류/결정화/포장								반응/증류/결정화/포장							반응/증류/결정화/포장										반응/증류/결정화/포장			반응/증류/결정화/포장						반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장		반응/증류/결정화/포장														반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장												
	원료투입								승온/DMSC 적가							EA증류/분석										EA증류/반응/샘플링			원료투입						Reflux/이송									결정화	여과		RINSE1														RINSE2									건조	포장												
	투입량[K2CO3(P)]	원료 투입 시작	투입량[EtOAc]	투입량[D-EA]	CCIM 투입량 합계[CCIM]	CCIM 순수량 합계	CCIM 평균 순도	원료 투입 시간	승온 시간	Reflux 시간	적가 시작 내부온도	DMSC 투입량 합계[DMSC]	Taverage	적가 종료 내부온도	DMSC 적가 시간	투입량[EtOAc]	투입량[D-EA]	EA 상압증류 시간	샘플링 시각	CCIM	IKF-916	ISO-916	투입량[K2CO3(P)]	DMSC 투입량 합계[DMSC]	원료 투입 시간	EA 진공증류 시간	반응/샘플링 시간	Sub total 시간	원료 투입 시작 내부온도	투입량[D-EA]	투입량[EtOAc]	투입량[H2O]	원료 투입 종료 내부온도	원료 투입 시간	승온 시작 내부온도	승온 시간	Reflux 시작 내부온도	Reflux 시간	CW 냉각 시작 내부온도	CW 냉각 시간	이송 시작 내부온도	이송 시간	Sub total 시간	BR 냉각 시간	투입량[H2O]	여과/탈액 시간	투입량[H2O]	1차 H2O Rinse 시간	투입량[H2O]	2차 H2O Rinse 시간	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	MeOH Rinse 시간	CCIM-AM	CCIM	IKF-916	ISO-916	3C	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	Repulping 시간	투입량[D-MeOH]	투입량[MeOH]	MeOH Rinse 시간	Sub total 시간	건조 시간	이전 Batch 잔량	총 포장량	NET 수량	현 Batch 잔량	현 Batch 생산량	포장 시간	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C	Total 시간
IKF24008	950.0	2024-04-04 14:30		2,640.0	1,431.7	1,319.45	92.16	00:30	01:00	01:00	82.2	1,000.0	80.3	78.4	00:30	500.0		01:30	2024-04-04 19:00	8.2	71.5	20.3	0.0	110.0	00:20	02:30	02:30	10:30	77.1	1,070.0		3,000.0	30.7	00:30	31.9	01:20	71.5	01:00		03:30	34.9	00:40	07:00	06:00	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:00	0.21	0.6	98.18	0.0	0.91		2,930.0	4.2		02:20		1,300.0	02:00	09:20	09:00		1,700.0	1,700.0		1,700.0	01:00	86.347						42:50
IKF24009	950.0	2024-04-05 14:30		2,640.0	1,432.4	1,319.506	92.119	00:30	01:00	01:00	83.1	1,000.0	79.4	77.2	00:30	500.0		01:30	2024-04-05 19:00	7.6	74.4	18.0		110.0	00:20	02:30	02:30	10:30	76.8	1,070.0		3,000.0	29.8	00:30	29.5	01:20	72.2	01:00		03:50	40.0	00:40	07:20	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:30	0.13	0.37	98.57	0.0	0.87	2,930.0		4.2		02:00		1,300.0	02:00	09:30	09:00		1,800.0	1,800.0		1,800.0	01:00	91.422	0.12	0.08	98.85	0.0	0.88	39:20
IKF24010	950.0	2024-04-06 14:30		2,640.0	1,432.5	1,319.514	92.113	00:30	01:00	01:00	82.1	1,000.0	79.6	78.0	00:30	500.0		01:30	2025-04-06 19:00	4.7	79.5	15.8		100.0	00:20	02:30	03:30	11:20	63.6	1,070.0		3,000.0	38.5	00:30	41.4	01:20		01:00		03:10	40.3	00:30	06:30	01:40	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.16	0.53	0.0	1.01	98.19	2,930.0		4.2		02:00	0.0	1,300.0	02:30	09:30	09:00		1,800.0	1,800.0		1,800.0	01:00	91.421	0.01	0.08	98.81	0.0	1.02	39:00
IKF24011	950.0	2024-04-07 14:30		2,640.0	1,435.4	1,319.465	91.923	00:30	01:00	01:00	83.1	1,000.0	79.9	78.4	00:30	500.0		01:30	2024-04-07 19:00	8.4	77.0	14.7		110.0	00:20	02:30	02:20	10:10	60.1	1,070.0		3,000.0	29.4	00:35	29.3	01:10	68.4	01:00	71.6	04:20	40.8	00:50	07:55	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.12	0.46	98.43	0.0	0.88	2,930.0		4.2		02:00		1,300.0	02:00	09:00	09:00	0.0	1,700.0	1,700.0	0.0	1,700.0	01:00	86.346	0.01	0.09	98.94	0.0	0.89	39:05
IKF24012	950.0	2024-04-08 14:30		2,640.0	1,433.7	1,319.526	92.036	00:30	01:00	01:00	82.5	1,000.0	81.0	78.5	00:30	500.0		01:30	2024-04-08 19:00	6.3	72.7	21.1		110.0	00:20	02:30	04:30	12:20	61.3	1,070.0		3,000.0	30.1	00:30	29.6	01:00	69.9	01:00	72.3	02:50	38.5	00:40	06:00	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.2	0.41	98.19	0.0	1.09	2,930.0		4.2		02:00		1,300.0	02:00	09:00	10:00	0.0	1,800.0	1,800.0	0.0	1,800.0	01:00	91.421	0.02	0.1	98.76	0.0	1.06	40:20
IKF24013	950.0	2024-04-09 14:30		2,640.0	1,432.5	1,319.486	92.111	00:30	01:00	01:00		1,000.0			00:30	500.0		01:30	2024-04-09 19:00	6.6	74.2	19.1		110.0	00:20	02:30	03:10	11:00	74.7	1,070.0		3,000.0	30.8	00:35	28.8	01:10	69.0	01:00	72.6	03:30	40.4	00:40	06:55	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.11	0.49	98.24	0.0	1.05	2,930.0		4.2		02:00		1,300.0	02:00	09:00	09:50	0.0	1,800.0	1,800.0	0.0	1,800.0	01:00	91.423	0.02	0.09	98.78	0.0	1.06	39:45
IKF24014	950.0	2024-04-10 14:30		2,640.0	1,433.2	1,319.458	92.064	00:30	01:00	01:00	83.5	1,000.0	81.9	79.9	00:30	500.0		01:30	2024-04-10 19:00	6.2	74.1	19.7		110.0	00:20	02:30	04:00	11:50	74.5	1,070.0		3,000.0	28.3	00:40	28.1	01:00	66.5	01:00	72.6	02:50	40.5	00:40	06:10	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.24	0.65	97.86	0.0	1.03	2,930.0		4.2		02:00		1,300.0	02:00	09:00	09:00		1,800.0	1,800.0		1,800.0	01:00	91.425	0.01	0.1	98.8	0.0	1.02	39:00
IKF24015	950.0	2024-04-11 14:30		2,640.0	1,433.5	1,319.51	92.048	00:30	01:00	01:00	82.6	1,000.0	81.1	78.4	00:30	500.0		01:30	2024-04-11 19:00	6.6	70.9	22.6		110.0	00:20	02:30	04:30	12:20	69.7	1,070.0		3,000.0	31.2	00:30	33.9	01:00	68.3	01:00	72.0	02:50	38.9	00:40	06:00	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.33	0.61	97.83	0.0	1.05	2,930.0		4.2		02:00		1,300.0	02:00	09:00	10:00		1,700.0	1,700.0		1,700.0	01:30	86.343	0.02	0.11	98.76	0.0	1.04	40:50
IKF24016	950.0	2024-04-12 14:30		2,640.0	1,435.2	1,319.477	91.937	00:30	01:00	01:00	82.5	1,000.0	81.2	79.2	00:30	500.0		01:30	2024-04-12 19:00	8.9	75.6	15.5		110.0	00:20	02:30	02:20	10:10	75.7	1,070.0		3,000.0	34.8	00:30	38.5	01:10	68.4	01:00	71.7	04:20	38.0	01:00	08:00	05:00	800.0	02:00	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.29	0.84	97.69	0.0	0.95	2,930.0		4.2		02:00		1,300.0	02:00	09:30	09:30		1,700.0	1,700.0		1,700.0	01:00	86.345	0.01	0.1	98.86	0.0	0.94	43:10
IKF24017	950.0	2024-04-13 14:30		2,640.0	1,434.1	1,319.53	92.011	00:30	01:00	01:00	83.1	1,000.0	80.0	77.6	00:30	500.0		01:30	2024-04-13 19:00	6.2	74.4	19.4		110.0	00:10	02:30	04:00	11:40	74.2	1,070.0		3,000.0	30.6	00:40	32.3	01:00	67.6	01:00	72.4	03:10	37.8	00:40	06:30	04:00	800.0	02:30	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.27	0.52	97.98	0.0	1.1	2,930.0		4.2		01:30		1,300.0	02:00	09:00	09:30		1,800.0	1,800.0		1,800.0	01:00	91.42	0.01	0.09	98.74	0.0	1.08	41:40
IKF24018	950.0	2024-04-14 14:20		2,640.0	1,434.5	1,319.534	91.986	00:40	01:00	01:00	83.1	1,000.0	80.4	78.7	00:30	500.0		01:30	2024-04-14 19:00	6.1	74.2	19.8		110.0	00:10	02:30	03:50	11:30	73.1	1,070.0		3,000.0	30.6	00:40	30.4	01:00	66.9	01:00	72.3	03:20	41.6	00:40	06:40	04:00	800.0	02:20	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:00	0.35	0.83	97.54	0.0	1.08	2,930.0		4.2		02:00		1,300.0	02:00	09:50	10:30		1,800.0	1,800.0		1,800.0	01:00	91.42	0.01	0.08	98.75	0.0	1.07	43:30
IKF24019	950.0	2024-04-15 14:20		2,640.0	1,434.8	1,319.474	91.962	00:40	01:00	01:00	82.2	1,000.0	80.8	78.1	00:30	500.0		01:30	2024-04-15 19:00	6.4	73.7	19.9		110.0	00:10	02:30	03:50	11:40	74.7	1,070.0		3,000.0	33.8	00:40	36.4	01:00	66.9	01:00	72.8	03:20	40.1	00:40	06:40	04:00	800.0	02:20	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.41	1.0	97.34	0.0	1.07	2,930.0		4.2		02:30		1,300.0	02:00	09:50	10:00		1,800.0	1,800.0		1,800.0	01:00	91.424	0.01	0.08	98.73	0.0	1.07	43:10
IKF24020	950.0	2024-04-16 14:20		2,640.0	1,433.0	1,319.498	92.079	00:40	01:00	01:00	82.3	1,000.0	80.4	78.0	00:30	500.0		01:30	2024-04-16 19:00	5.3	74.0	20.0		100.0	00:10	02:30	03:00	10:50	74.1	1,070.0		3,000.0	35.6	00:40	35.1	00:50	67.9	01:00	72.9	04:20	41.1	00:40	07:30	04:00	800.0	02:20	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.17	0.47	98.17	0.0	1.07		2,930.0	4.2		02:00		1,300.0	02:00	09:20			1,800.0	1,800.0		1,800.0	00:40	91.423	0.01	0.07	98.73	0.0	1.1	32:20
IKF24021	950.0	2024-04-17 14:20		2,640.0	1,432.4	1,319.478	92.117	00:40	01:00	01:00	83.0	1,000.0	80.0	77.8	00:30	500.0		01:30	2024-04-17 19:00	5.2	78.1	16.7		100.0	00:10	02:30	02:30	10:20	75.7	1,070.0		3,000.0	36.5	00:40	36.0	01:00		01:00	72.6	04:40	36.4	00:40	08:00	04:00	800.0	02:20	2,000.0	00:50	2,000.0	01:20	1,040.0		38.0		01:20	0.12	0.64	98.1	0.0	1.03	2,930.0		4.2		01:30		1,300.0	02:00	09:20	10:30		1,800.0	1,800.0		1,800.0	01:00	91.424	0.01	0.08	98.77	0.0	1.05	43:10
IKF24022	950.0	2024-04-20 14:30		2,640.0	1,434.3	1,319.518	91.997	00:30	01:00	01:00	82.6	1,000.0	79.1	77.8	00:30	500.0		01:30	2024-04-20 19:00	6.4	72.8	20.8		110.0	00:20	02:30	02:20	10:20	61.1	1,070.0		3,000.0	34.9	00:40	34.4	01:00	70.3	01:00	73.0	04:00	38.9	00:40	07:20	04:50	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.19	0.57	98.03	0.0	1.06	2,930.0		4.2		02:00		1,300.0	02:20	09:20	09:40		1,800.0	1,800.0		1,800.0	00:40	91.421	0.0	0.08	98.8	0.0	1.05	42:10
IKF24023	950.0	2024-04-21 14:30		2,640.0	1,433.5	1,319.51	92.048	00:30	01:00	01:00	81.5	1,000.0	78.3	77.1	00:30	500.0		01:30	2024-04-21 19:00	7.6	71.0	21.5		110.0	00:20	02:30	02:20	10:10	61.1	1,070.0		3,000.0	30.9	00:30	31.2	01:10	70.4	01:00	71.9	03:50	38.7	00:40	07:10	06:20	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:00	0.16	0.4	98.26	0.0	1.04	2,930.0		4.2		02:40		1,300.0	02:20	10:00	09:40		1,700.0	1,700.0		1,700.0	00:50	86.343	0.01	0.08	98.78	0.0	1.03	44:10
IKF24024	950.0	2024-04-22 14:30		2,640.0	1,433.8	1,319.472	92.026	00:30	01:00	01:00	81.9	1,000.0	78.6	77.0	00:30	500.0		01:30	2024-04-22 19:00	7.7	74.3	18.0		110.0	00:20	02:30	02:20	10:20	62.0	1,070.0		3,000.0	39.5	00:20	42.3	01:20	71.3	01:00	73.1	04:00	37.7	00:40	07:20	05:40	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:00	0.2	0.66	98.02	0.0	0.99	2,930.0		4.2		02:40		1,300.0	02:20	10:00	09:40		1,700.0	1,700.0		1,700.0	00:40	86.345	0.01	0.07	98.87	0.0	0.99	43:40
IKF24025	950.0	2024-04-23 14:30		2,640.0	1,434.0	1,319.512	92.016	00:30	01:00	01:00	81.6	1,000.0	79.2	79.0	00:30	500.0		01:30	2024-04-23 19:00	5.7	74.4	19.9		100.0	00:20	02:30	03:10	11:10	76.2	1,070.0		3,000.0	31.0	00:30	32.0	01:10		01:00	72.9	03:10	36.1	00:40	06:30	05:40	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:00	0.21	0.55	98.06	0.0	1.03	2,930.0		4.2		02:40		1,300.0	02:20	10:00	09:50		1,800.0	1,800.0		1,800.0	01:00	91.422	0.0	0.08	98.85	0.0	1.01	44:10
IKF24026	950.0	2024-04-24 14:30		2,640.0	1,433.7	1,319.544	92.038	00:30	01:00	01:00	82.6	1,000.0	80.3	77.9	00:30	500.0		01:30	2024-04-24 19:00	4.9	73.5	21.6		100.0	00:20	02:30	02:20	10:10	76.3	1,070.0		3,000.0	34.1	00:30	33.9	01:00	69.6	01:00	72.9	04:00	34.2	00:40	07:10	05:50	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:00	0.02	0.79	98.08	0.09	0.96		2,930.0	4.2		02:40		1,300.0	02:20	10:00	09:40		1,700.0	1,700.0		1,700.0	00:40	86.34	0.01	0.08	98.86	0.0	0.97	43:30
IKF24027	950.0	2024-04-26 14:30		2,640.0	1,434.6	1,319.475	91.975	00:30	01:00	01:00	81.6	1,000.0	79.7	77.5	00:30	500.0		01:30	2024-04-26 19:00	6.1	72.7	21.2		110.0	00:20	02:30	03:10	11:00	76.8	1,070.0		3,000.0	34.3	00:40	33.8	01:00	70.5	01:00	73.0	03:40	39.8	00:40	07:00	02:00	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:30	0.09	0.62	98.17	0.0	0.98	2,930.0		4.2		02:00		1,300.0	02:20	09:50	09:50	0.0	1,700.0	1,700.0	0.0	1,700.0	01:00	86.345	0.01	0.08	98.85	0.0	0.98	40:40
IKF24028	950.0	2024-04-28 14:30		2,640.0	1,431.7	1,319.469	92.161	00:30	01:00	01:00	83.0	1,000.0	81.2	79.5	00:30	500.0		01:30	2024-04-28 19:00	4.8	75.2	20.0		100.0	00:10	02:40	02:50	10:40	74.1	1,070.0		3,000.0	31.8	00:40	31.5	01:00	68.6	01:00	72.4	04:00	38.0	00:40	07:20	02:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.25	0.77	97.76	0.0	1.07	2,930.0		4.2		02:10		1,300.0	02:20	09:30	10:30		1,800.0	1,800.0		1,800.0	00:40	91.425	0.01	0.09	98.59	0.0	1.17	40:40
IKF24029	950.0	2024-04-30 14:30		2,640.0	1,432.1	1,319.501	92.137	00:30	01:00	01:00	82.1	1,000.0	81.0	79.3	00:30	500.0		01:30	2024-04-30 19:00	5.8	73.9	20.3		105.0	00:20	02:30	03:30	11:20	74.3	1,070.0		3,000.0	30.0	00:30	30.9	01:00	66.1	01:00	72.2	03:30	38.9	00:30	06:30	02:00	800.0	01:40	1,900.0	01:30	1,900.0	01:30	1,040.0		38.0		01:00	0.23	0.75	97.79	0.0	1.09	2,930.0		4.2		73:40		1,300.0	02:20	81:40	10:00		1,800.0	1,800.0		1,800.0	00:40	91.422	0.01	0.1	98.68	0.0	1.11	112:10
IKF24030	950.0	2024-05-02 15:00		2,640.0	1,432.5	1,319.6	92.119	00:30	00:30	01:00	82.3	1,000.0	80.9	78.0	00:30	500.0		01:30	2024-05-02 19:00	6.7	70.0	23.4		110.0	00:20	02:30	04:15	11:35	74.3	1,070.0		2,800.0	29.2	00:25	29.6	01:00	66.1	01:00	71.6	02:45	41.4	00:30	05:40	03:30	800.0	02:00	2,000.0	01:00	2,000.0	01:30	1,040.0		38.0		01:30	0.2	0.53	98.08	0.0	1.02	2,930.0		4.2		01:40		1,300.0	02:20	10:00	09:30		1,800.0	1,800.0		1,800.0	00:40	91.415	0.01	0.09	98.8	0.0	1.02	40:55
IKF24031	950.0	2024-05-05 14:30		2,640.0	1,430.8	1,319.062	92.191	00:30	01:00	01:00	82.2	1,000.0	80.8	77.9	00:30	500.0		01:30	2024-05-05 19:00	4.1	75.5	20.5		100.0	00:20	02:30	04:00	11:50	61.6	1,070.0		3,000.0	34.9	00:40	34.8	01:00	70.1	01:00	71.2	02:50	39.5	00:30	06:00	01:30	800.0	02:10	2,000.0	00:30	2,000.0	01:10	1,040.0		38.0		01:00	0.19	0.5	98.1	0.0	1.09	2,930.0		4.2		02:20		1,300.0	02:00	09:10	10:30		1,800.0	1,800.0		1,800.0	01:00	91.453	0.01	0.09	98.73	0.0	1.07	40:00
IKF24032	950.0	2024-05-08 14:30		2,640.0	1,430.8	1,319.454	92.218	00:30	01:00	01:00	81.9	1,000.0	82.2	78.9	00:30	500.0		01:30	2024-05-08 19:00	6.6	70.6	22.8		110.0	00:10	02:30	03:30	11:10	75.0	1,070.0		3,000.0	34.5	00:40	34.0	01:00	70.0	01:00	72.6	03:20	38.6	00:30	06:30	02:00	800.0	02:10	2,000.0	00:40	2,000.0	01:20	1,040.0		38.0		01:10	0.2	0.57	97.88	0.11	1.09		2,930.0	4.2		02:10		1,300.0	02:00	09:30	09:00	0.0	1,800.0	1,800.0	0.0	1,800.0	01:00	91.426	0.01	0.09	98.75	0.0	1.03	39:10
IKF24033	950.0	2024-05-09 14:30		2,640.0	1,431.7	1,319.497	92.163	00:30	01:00	01:00	82.7	1,000.0	78.3	78.4	00:30	500.0		01:30	2024-05-09 19:00	6.9	78.0	15.1		110.0	00:10	02:30	02:30	10:10	74.9	1,070.0		3,000.0	34.0	00:40	34.0	01:00	69.6	01:00	72.2	04:20	40.8	01:00	08:00	04:00	800.0	02:10	2,000.0	00:40	2,000.0	01:10	1,040.0		38.0		01:00	0.25	0.63	98.07	0.0	0.95	2,930.0		4.2		02:20		1,300.0	02:00	09:20	09:00		1,800.0	1,800.0		1,800.0	00:50	91.423	0.01	0.19	98.75	0.0	0.97	41:20
IKF24034	950.0	2024-05-10 14:30		2,640.0	1,432.0	1,319.465	92.141	00:30	01:00	01:00	82.9	1,000.0	80.3	77.3	00:30	500.0		01:30	2024-05-10 19:00	5.7	75.3	19.0		105.0	00:10	02:30	03:00	10:40	60.1	1,070.0		3,000.0	35.5	00:40	34.9	01:00	70.4	01:00	71.5	03:50	36.7	00:50	07:20	05:00	800.0	02:10	2,000.0	00:30	2,000.0	01:30	1,040.0		38.0		01:20	0.23	0.64	98.03	0.0	1.0	2,930.0		4.2		02:20		1,300.0	02:00	09:50	09:00		1,700.0	1,700.0		1,700.0	00:30	86.346	0.01	0.1	98.8	0.0	1.01	42:20
IKF24035	950.0	2024-05-12 14:30		2,640.0	1,433.0	1,319.516	92.081	00:30	01:00	01:00	82.3	1,000.0	80.0	77.6	00:30	500.0		01:30	2024-05-12 19:00	4.5	75.7	19.9		100.0	00:20	02:30	02:50	10:30	76.0	1,070.0		3,000.0	35.9	00:40	35.4	01:00	70.2	01:00	72.8	03:00	38.2	00:50	06:30	02:30	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.23	0.7	97.94	0.0	1.02	2,930.0		4.2		01:30		1,300.0	02:12	08:42	08:50	0.0	1,800.0	1,800.0	0.0	1,800.0	01:00	91.421	0.01	0.09	98.76	0.0	1.04	38:02
IKF24036	950.0	2024-05-13 14:30	100.0	2,540.0	1,439.7	1,319.544	91.654	00:30	01:00	01:00	82.2	1,000.0	79.0	76.0	00:30	500.0		01:30	2024-05-13 19:00	7.6	73.6	18.8		120.0	00:20	02:30	02:40	10:40	67.3	1,070.0		3,000.0	33.8	00:40	33.4	01:10	71.2	01:00	72.4	03:30	38.0	00:40	07:00	02:20	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.63	0.56	97.72	0.0	0.92	2,930.0		4.2		01:30		1,300.0	02:30	09:00	09:00	0.0	1,600.0	1,600.0	0.0	1,600.0	01:00	81.262	0.02	0.07	98.89	0.0	0.92	39:00
IKF24037	950.0	2024-05-14 14:30		2,640.0	1,439.7	1,319.516	91.652	00:30	01:00	01:00	82.8	1,000.0	79.0	75.5	00:30	500.0		01:30	2024-05-14 19:00	9.1	72.4	18.5		125.0	00:20	02:30	02:10	10:00	76.1	1,070.0		3,000.0	32.8	00:40	32.7	01:10	71.7	01:00	73.0	04:10	36.6	00:40	07:40	02:40	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.41	0.67	97.9	0.0	0.85	2,930.0		4.2		01:30		1,300.0	02:30	09:00			1,700.0	1,700.0		1,700.0	00:40	86.342	0.02	0.07	99.0	0.0	0.85	30:00
IKF24038	950.0	2024-05-15 14:30		2,640.0	1,435.5	1,319.4	91.912	00:30	01:00	01:00	82.0	1,000.0	79.2	75.6	00:30	500.0		01:30	2024-05-15 19:00	8.1	72.8	19.0		120.0	00:20	02:30	02:40	10:40	75.3	1,070.0		3,000.0	32.0	00:40	31.8	01:10	71.4	01:00	72.4	03:30	39.1	00:40	07:00	02:50	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.4	0.59	97.94	0.0	0.91		2,930.0	4.2		01:30		1,300.0	02:30	09:00	10:30		1,600.0	1,600.0		1,600.0	01:00	81.27	0.02	0.06	98.94	0.0	0.9	41:00
IKF24039	950.0	2024-05-16 14:30		2,640.0	1,439.3	1,319.4	91.67	00:30	01:00	01:00	81.9	1,000.0	80.2	77.3	00:30	500.0		01:30	2024-05-16 19:00	7.1	73.3	19.6	50.0	120.0	00:20	02:30	02:40	10:30	74.7	1,070.0		3,000.0		00:40	31.6	01:10	69.9	00:50	72.9	03:10	38.0	00:40	06:30	02:50	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.47	0.67	97.91	0.0	0.89	2,930.0		4.2		01:30		1,300.0	02:00	08:30	10:30		1,700.0	1,700.0		1,700.0	00:40	86.35	0.02	0.07	98.95	0.0	0.89	39:30
IKF24040	950.0	2024-05-20 14:30		2,640.0	1,436.9	1,319.5	91.83	00:30	01:00	01:00	82.8	1,000.0	78.3	76.3	00:30		500.0	01:30	2024-05-20 19:00	8.7	76.1	15.2		120.0	00:20	02:30	02:10	10:00	75.3	1,070.0		2,800.0	36.0	00:30	35.4	01:00	68.2	00:50	72.0	04:50	40.3	00:40	07:50	02:00	800.0	02:00	2,000.0	01:30	2,000.0	01:00	1,040.0		38.0		01:00	0.38	0.55	98.03	0.0	0.86	2,930.0		4.2		02:10		1,300.0	02:20	10:00	10:00	0.0	1,700.0	1,700.0	0.0	1,700.0	01:00	86.343	0.02	0.08	98.94	0.0	0.84	40:50
IKF24041	950.0	2024-05-23 14:30		2,640.0	1,436.2	1,319.5	91.874	00:30	01:00	01:00	82.9	1,000.0	79.6	74.9	00:30	500.0		01:30	2024-05-23 19:00	6.6	75.9	17.5	50.0	125.0	00:20	02:30	01:10	09:00	75.7	1,070.0		3,000.0	34.9	00:30	34.5	01:10	67.5	01:00	71.9	05:40	39.1	00:30	08:50	02:00	800.0	01:40	2,000.0	01:30	2,000.0	01:30	1,040.0		38.0		01:00	0.35	0.56	98.05	0.0	0.93	2,930.0		4.2		01:30		1,300.0	02:20	09:30	09:00		1,600.0	1,600.0		1,600.0	00:50	81.264	0.01	0.07	98.86	0.0	0.95	39:10
IKF24042	950.0	2024-05-24 14:30		2,640.0	1,433.0	1,319.4	92.073	00:30	01:00	01:00	82.6	1,000.0	80.8	75.9	00:30	500.0		01:30	2024-05-24 19:00	6.1	77.2	16.8	50.0	125.0	00:20	02:30	02:05	09:55	75.1	1,070.0		2,800.0		00:35	37.5	01:00	68.3	01:00	71.6	04:50	38.8	00:30	07:55	02:30	800.0	02:00	2,000.0	01:30	2,000.0	01:10	1,040.0		38.0		01:00	0.13	0.53	98.31	0.0	0.94	2,930.0		4.2		01:00		1,300.0	02:20	09:00	10:30		1,800.0	1,800.0		1,800.0	01:00	91.429	0.01	0.1	98.83	0.0	0.97	40:50
IKF24043	950.0	2024-05-25 14:30		2,640.0	1,433.0	1,319.5	92.08	00:30	01:00	01:00	83.0	1,000.0	79.7	75.7	00:30	500.0		01:30	2024-05-25 19:00	6.6	77.3	16.1	50.0	125.0	00:20	02:30	01:20	09:10	75.5	1,070.0		2,800.0	35.5	00:25	37.4	01:00	67.3	01:00	72.3	05:50	39.4	01:00	09:15	02:30	800.0	02:10	2,000.0	00:30	2,000.0	01:20	1,040.0		38.0		01:00	0.16	0.65	98.12	0.0	0.94	2,930.0		4.2		02:10		1,300.0	02:00	09:10	11:00		1,700.0	1,700.0		1,700.0	00:30	86.343	0.01	0.07	98.74	0.01	1.02	41:35
IKF24044	950.0	2024-05-26 14:30		2,640.0	1,436.9	1,319.518	91.831	00:30	01:00	01:00	82.0	1,000.0	78.9	76.1	00:30	500.0		01:30	2024-05-26 19:00	6.9	75.1	18.0	50.0	85.0	00:20	02:30	01:40	09:30	75.5	1,070.0		2,800.0	60.2	00:20	62.0	01:00	68.0	01:00	72.6	05:30	37.9	00:30	08:20	03:00	800.0	02:00	2,000.0	00:40	2,000.0	01:15	1,040.0		38.0		01:10	0.41	0.78	97.69	0.0	0.9	2,930.0		4.2		02:10		1,300.0	02:00	09:15	24:00		1,700.0	1,700.0		1,700.0	01:00	86.342	0.02	0.1	98.89	0.0	0.88	55:05
IKF24044H1																												0															0																										0			100.0	100.0	50.0	150.0	01:30	86.342	0.02	0.11	98.92	0.0	0.89	01:30
IKF24045	950.0	2024-08-20 14:20		2,640.0	1,437.6	1,319.517	91.786	00:40	01:00	01:00	82.6	1,000.0	80.2	77.1	00:30	500.0		01:30	2024-08-20 19:00	11.2	72.3	16.4	0.0	120.0	00:10	02:30		07:50	76.1	1,070.0		2,800.0	43.3	00:40	42.7	00:40	68.2	01:00	73.6	04:00	39.6	00:30	06:50	03:00	800.0	02:00	2,000.0	01:00	2,000.0	01:00		1,040.0	38.0		01:00	0.28	0.63	98.18	0.0	0.8		2,930.0	4.2		02:00		1,300.0	02:00	09:00	10:00	30.0	1,500.0	1,470.0		1,470.0	00:50	74.661	0.01	0.09	99.0	0.0	0.81	37:30
