Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2022-07-19,pm 12:03:20,83.49,84.12,77.7,83.53,84.88,83.59,77.95,83.74,81.74,82.13,83.32,77.67,83.81,84.1,84.66,81.68,85.27
2022-07-19,pm 12:03:30,83.38,83.89,77.34,83.41,84.73,83.45,77.89,83.54,81.8,82.37,83.08,77.38,83.72,83.79,84.48,81.37,85.03
2022-07-19,pm 12:03:40,83.28,83.74,77.1,83.34,84.6,83.32,77.75,83.35,81.88,82.56,82.84,77.07,83.68,83.55,84.33,80.92,84.88
2022-07-19,pm 12:03:50,83.18,83.6,76.78,83.31,84.55,83.07,77.46,83.07,82.05,82.55,82.63,76.81,83.67,83.38,84.21,81.56,84.73
2022-07-19,pm 12:04:00,83.07,83.33,76.49,83.3,84.54,82.96,77.27,82.88,82.14,82.51,82.38,76.73,83.57,83.34,84.06,82.23,84.65
2022-07-19,pm 12:04:10,82.54,82.68,74.84,82.94,83.52,82.54,76.65,82.12,81.91,81.86,81.82,76.19,83.07,82.87,83.45,82.02,84.24
2022-07-19,pm 12:04:20,81.27,81.52,71.16,81.76,82.86,80.94,75.42,80.5,80.47,80.42,80.61,73.9,81.5,81.98,82.12,81.3,82.83
2022-07-19,pm 12:04:30,82.85,83.97,77.73,82.87,85.29,82.45,78.52,82.07,81.76,81.68,81.97,79.69,82.78,83.91,84.27,84.19,84.89
2022-07-19,pm 12:04:40,85.83,87.46,84.41,85.36,87.87,85.62,84.22,86,85.05,85.7,85.02,85.9,85.55,86.85,87.31,87.61,87.88
2022-07-19,pm 12:04:50,89.95,91.2,89.63,89.6,92.06,90.06,89.3,90.65,89.53,90.33,89.36,90.74,89.84,90.16,90.83,91.27,90.88
2022-07-19,pm 12:05:00,93.72,94.76,93.63,93.41,95.51,93.89,93.31,94.37,93.45,94.11,93.22,94.46,93.62,93.54,94.17,94.66,94.03
2022-07-19,pm 12:05:10,96.84,97.69,96.79,96.56,98.32,96.98,96.51,97.36,96.6,97.15,96.38,97.44,96.71,96.55,97.14,97.5,97.01
2022-07-19,pm 12:05:20,99.44,100.18,99.42,99.2,100.72,99.56,99.18,99.89,99.24,99.71,99.05,99.97,99.31,99.15,99.68,99.95,99.57
2022-07-19,pm 12:05:30,99.01,99.74,98.73,98.74,97.36,99.09,98.94,98.3,99.58,98.29,98.73,97.9,98.91,99.63,99.42,100.67,99.55
2022-07-19,pm 12:05:40,97.39,97.84,94.65,95.68,95.9,97.25,96.37,94.83,97.94,94.87,96.34,93.59,96.33,98.21,97.36,98.95,98.2
2022-07-19,pm 12:05:50,95.27,95.45,90.64,93.81,94.05,95.26,94.38,93.31,95.73,93.27,94.43,90.95,93.94,96.13,95,96.56,96.25
2022-07-19,pm 12:06:00,93.04,93.08,87.78,91.74,92.05,93.03,92.04,91.33,93.34,91.36,92.26,89.38,91.54,94.07,92.76,94.09,94.09
2022-07-19,pm 12:06:10,91.1,91.09,85.26,89.89,90.42,90.97,89.87,89.48,91.16,89.47,90.25,87.41,89.49,92.17,90.67,92.02,92.03
2022-07-19,pm 12:06:20,89.53,89.55,82.93,88.34,89.34,89.36,88.37,88.09,89.49,87.95,88.67,85.49,87.9,90.56,89.02,90.53,90.45
2022-07-19,pm 12:06:30,88.4,88.49,81.03,87.31,88.46,88.24,87.24,87.18,88.27,86.92,87.51,84.1,86.84,89.32,87.91,89.32,89.43
2022-07-19,pm 12:06:40,87.57,87.82,79.53,86.64,87.85,87.4,86.44,86.49,87.34,86.26,86.57,83.06,86.27,88.4,87.27,88.5,88.76
2022-07-19,pm 12:06:50,86.92,87.39,78.47,86.16,87.5,86.7,85.93,85.96,86.64,85.79,85.79,82.23,85.85,87.69,86.78,87.97,88.26
2022-07-19,pm 12:07:00,86.44,87.12,77.7,85.87,87.25,86.12,85.6,85.48,86.17,85.43,85.24,81.89,85.59,87.18,86.48,87.6,87.88
2022-07-19,pm 12:07:10,86.05,86.95,77.2,85.7,87.31,85.69,85.44,85.09,85.88,85.16,84.84,81.8,85.45,86.78,86.26,87.37,87.56
2022-07-19,pm 12:07:20,85.77,86.86,76.8,85.63,87.39,85.42,85.4,84.84,85.63,84.92,84.58,81.66,85.36,86.5,86.17,87.26,87.4
2022-07-19,pm 12:07:30,85.58,86.78,76.51,85.61,87.35,85.2,85.38,84.71,85.54,84.76,84.36,81.61,85.29,86.33,86.16,87.17,87.33
2022-07-19,pm 12:07:40,85.43,86.78,76.31,85.55,87.36,85.08,85.55,84.57,85.41,84.55,84.16,81.45,85.12,86.24,86.18,87.14,87.25
2022-07-19,pm 12:07:50,85.3,86.78,76.23,85.54,87.59,84.89,85.7,84.36,85.16,84.44,83.99,81.27,85.08,86.19,86.29,87.12,87.29
2022-07-19,pm 12:08:00,85.21,86.84,76.29,85.56,87.63,84.75,85.84,84.2,85.09,84.31,83.89,81.24,85.06,86.23,86.36,87.14,87.34
2022-07-19,pm 12:08:10,85.2,86.94,76.6,85.7,87.77,84.8,85.96,84.04,85.1,84.22,83.8,81.23,85.14,86.25,86.51,87.19,87.44
2022-07-19,pm 12:08:20,85.25,87.1,76.8,85.79,87.97,84.65,86.18,84.08,85.22,84.23,83.84,81.2,85.21,86.3,86.63,87.24,87.52
2022-07-19,pm 12:08:30,85.32,87.21,77.36,85.95,88.23,84.62,86.49,84.12,85.21,84.23,83.86,81.12,85.27,86.35,86.77,87.37,87.62
2022-07-19,pm 12:08:40,85.44,87.38,77.9,86.06,88.51,84.61,86.69,84.13,85.23,84.28,83.91,81.1,85.3,86.46,86.83,87.48,87.74
2022-07-19,pm 12:08:50,84.95,86.67,77.65,85.8,87.49,84.22,86.43,83.5,84.75,83.61,83.56,80.32,84.88,86.06,86.3,86.74,87.44
2022-07-19,pm 12:09:00,84.07,85.92,76.01,85.03,86.92,83.07,85.42,82.21,83.36,82.4,82.65,79.04,83.7,85.38,85.56,86.29,86.42
2022-07-19,pm 12:09:10,86.05,89.03,80.38,86.31,89.51,85.92,87.89,84.33,85.68,84.31,84.37,82.29,85.28,87.84,88.42,89.94,89.51
2022-07-19,pm 12:09:20,88.41,91.96,86.67,88.43,91.77,88.7,90.77,88.16,88.68,87.96,87.4,88.13,88.01,90.65,91.27,92.93,92.54
