기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
날짜	시간	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)
2022-07-19	pm 12:01:00	93.17	94.83	92.88	92.3	93.94	93.93	93.74	93.55	94	93.35	92.38	93.22	93.63	93.27	94.02	95.14	94.46
2022-07-19	pm 12:01:10	93.79	95.68	93.85	93.42	94.81	94.75	94.56	93.77	94.87	93.72	93.59	93.68	94.46	94.48	94.76	95.95	95.49
2022-07-19	pm 12:01:20	93.11	94.56	92.14	92.38	93.74	93.32	92.93	92.81	94.24	92.14	93.23	90.99	93.41	93.97	93.91	94.96	94.8
2022-07-19	pm 12:01:30	91.48	92.79	89.57	90.35	91.78	90.49	90.44	91.1	92.45	90.09	91.8	88.4	91.36	92.48	92.16	92.42	93.13
2022-07-19	pm 12:01:40	89.44	91	87.37	88.48	89.69	87.95	88.15	89.57	90.33	88.54	90.18	86.6	89.1	90.98	90.51	90.64	91.49
2022-07-19	pm 12:01:50	87.66	89.64	85.76	87.39	88.33	86.25	86.27	88.09	88.22	87.37	88.64	85.16	87.31	89.75	89.04	88.64	90.15
2022-07-19	pm 12:02:00	86.31	88.65	84.45	86.55	87.59	85.01	84.9	86.94	86.79	85.5	87.4	83.79	86.21	88.9	87.69	87.79	88
2022-07-19	pm 12:02:10	85.09	87.68	83.32	85.41	86.96	84.18	83.68	85.9	85.68	84.09	86.41	82.65	85.41	88.15	86.32	86.81	87.28
2022-07-19	pm 12:02:20	84.3	86.8	82.2	84.45	86.64	83.75	82.6	85.05	84.73	82.89	85.74	81.68	84.75	87.44	86.01	85.71	86.67
2022-07-19	pm 12:02:30	83.98	86.18	81.25	84.11	86.32	83.56	81.63	84.78	84.12	81.98	85.17	80.8	84.67	86.73	85.85	84.5	86.39
2022-07-19	pm 12:02:40	83.7	85.65	80.32	83.98	85.93	83.62	80.51	84.47	83.75	81.16	84.7	79.78	84.53	86.16	85.65	82.35	86.09
2022-07-19	pm 12:02:50	83.63	85.11	79.35	83.87	85.55	83.71	79.53	84.21	83.18	80.6	84.34	78.82	84.33	85.56	85.36	80.79	85.77
2022-07-19	pm 12:03:00	83.6	84.67	78.64	83.74	85.17	83.72	78.81	84.03	82.36	81.01	83.96	78.19	84.15	84.98	85.1	80.36	85.57
2022-07-19	pm 12:03:10	83.57	84.41	78.11	83.67	85	83.69	78.29	83.87	81.97	81.74	83.6	77.85	84.03	84.35	84.87	80.75	85.44
2022-07-19	pm 12:03:20	83.49	84.12	77.7	83.53	84.88	83.59	77.95	83.74	81.74	82.13	83.32	77.67	83.81	84.1	84.66	81.68	85.27
2022-07-19	pm 12:03:30	83.38	83.89	77.34	83.41	84.73	83.45	77.89	83.54	81.8	82.37	83.08	77.38	83.72	83.79	84.48	81.37	85.03
2022-07-19	pm 12:03:40	83.28	83.74	77.1	83.34	84.6	83.32	77.75	83.35	81.88	82.56	82.84	77.07	83.68	83.55	84.33	80.92	84.88
2022-07-19	pm 12:03:50	83.18	83.6	76.78	83.31	84.55	83.07	77.46	83.07	82.05	82.55	82.63	76.81	83.67	83.38	84.21	81.56	84.73
2022-07-19	pm 12:04:00	83.07	83.33	76.49	83.3	84.54	82.96	77.27	82.88	82.14	82.51	82.38	76.73	83.57	83.34	84.06	82.23	84.65
2022-07-19	pm 12:04:10	82.54	82.68	74.84	82.94	83.52	82.54	76.65	82.12	81.91	81.86	81.82	76.19	83.07	82.87	83.45	82.02	84.24
2022-07-19	pm 12:04:20	81.27	81.52	71.16	81.76	82.86	80.94	75.42	80.5	80.47	80.42	80.61	73.9	81.5	81.98	82.12	81.3	82.83
2022-07-19	pm 12:04:30	82.85	83.97	77.73	82.87	85.29	82.45	78.52	82.07	81.76	81.68	81.97	79.69	82.78	83.91	84.27	84.19	84.89
2022-07-19	pm 12:04:40	85.83	87.46	84.41	85.36	87.87	85.62	84.22	86	85.05	85.7	85.02	85.9	85.55	86.85	87.31	87.61	87.88
2022-07-19	pm 12:04:50	89.95	91.2	89.63	89.6	92.06	90.06	89.3	90.65	89.53	90.33	89.36	90.74	89.84	90.16	90.83	91.27	90.88
