기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2022-07-20	am 10:45:10	98.25	97.86	96.97	97.15	97.68	97.78	94.32	98.71	97.73	96.83	98.21	97.78	97.34	97.35	97.7	97.52	97.67
2022-07-20	am 10:45:20	98.26	97.88	97.01	97.19	97.75	97.8	99.11	98.71	97.76	96.83	98.24	97.82	97.36	97.38	97.73	97.55	97.72
2022-07-20	am 10:45:30	98.3	97.89	97.06	97.2	97.8	97.87	99.07	98.75	97.76	96.87	98.28	97.85	97.41	97.42	97.78	97.55	97.74
2022-07-20	am 10:45:40	98.29	97.92	97.12	97.24	97.84	97.9	100.19	98.81	97.79	96.85	98.32	97.87	97.43	97.47	97.81	97.54	97.73
2022-07-20	am 10:45:50	98.32	97.94	97.12	97.29	97.89	97.89	98.39	98.83	97.81	96.9	98.37	97.91	97.41	97.51	97.86	97.57	97.74
2022-07-20	am 10:46:00	98.35	97.95	97.11	97.3	97.94	97.9	98.43	98.87	97.86	96.89	98.38	97.94	97.38	97.55	97.89	97.61	97.82
2022-07-20	am 10:46:10	98.39	97.95	97.11	97.29	97.94	97.9	98.85	98.9	97.89	96.91	98.38	97.97	97.43	97.56	97.92	97.67	98.24
2022-07-20	am 10:46:20	98.44	97.97	97.14	97.29	97.99	97.91	98.87	98.87	97.93	96.93	98.42	98.01	97.47	97.58	97.92	97.69	97.83
2022-07-20	am 10:46:30	98.45	97.99	97.18	97.31	98.03	97.97	95.97	98.89	97.96	96.99	98.47	98.04	97.49	97.58	97.96	97.71	97.91
2022-07-20	am 10:46:40	98.48	98.03	97.27	97.31	98.05	97.96	98.54	98.93	97.99	97	98.5	98.07	97.51	97.61	98.01	97.74	97.91
2022-07-20	am 10:46:50	98.52	98.06	97.29	97.34	98.11	98	97.85	98.97	98.04	97	98.52	98.08	97.51	97.62	98.05	97.76	97.94
2022-07-20	am 10:47:00	98.56	98.08	97.32	97.35	98.11	98.02	96.2	98.98	98.08	97.01	100.26	98.09	97.48	97.66	98.06	97.77	97.99
2022-07-20	am 10:47:10	98.59	98.11	97.34	97.38	98.16	98.06	97.08	99.01	98.09	97.09	98.52	98.13	97.52	97.69	98.08	97.8	98.04
2022-07-20	am 10:47:20	98.56	98.15	97.39	97.4	98.17	98.08	97.99	99	98.1	97.12	98.55	98.16	97.53	97.72	98.12	97.87	98.1
2022-07-20	am 10:47:30	98.59	98.17	97.42	97.4	98.16	98.11	97.85	99.02	98.12	97.11	98.57	98.19	97.56	97.74	98.12	97.92	98.13
2022-07-20	am 10:47:40	98.65	98.2	97.43	97.41	98.19	98.13	96.21	99.04	98.15	97.12	98.6	98.21	97.59	97.77	98.12	97.97	98.18
2022-07-20	am 10:47:50	98.65	98.2	97.5	97.45	98.26	98.13	99.3	99.04	98.18	97.1	98.61	98.26	97.62	97.78	98.14	98	98.24
2022-07-20	am 10:48:00	98.66	98.21	97.56	97.49	98.28	98.13	97.35	99.05	98.19	97.14	98.69	98.29	97.68	97.78	98.16	98.02	98.22
2022-07-20	am 10:48:10	98.67	98.22	97.56	97.53	98.27	98.15	98.59	99.07	98.23	97.12	98.73	98.31	97.69	97.83	98.19	98.05	98.25
