기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12
2022-07-19	pm 2:06:10	98.65	99	98.6	98.25	99.91	98.37	97	98.74	98.05	98.91	98.3	99.15
2022-07-19	pm 2:06:20	99.86	100.51	99.97	100.12	99.48	100.4	104.16	100.4	100.1	99.84	99.73	99.71
2022-07-19	pm 2:06:30	96.57	98.3	96.75	98.27	96.57	97.22	98.07	96.54	97.53	96.16	97.28	95.7
2022-07-19	pm 2:06:40	92.7	95.25	92.83	95.53	95.14	93.13	91.57	92.49	93.66	92.34	95.5	91.78
2022-07-19	pm 2:06:50	89.53	92.63	89.31	94.01	93.38	89.52	90.73	88.97	90.28	89.67	93.67	88.41
2022-07-19	pm 2:07:00	87.02	91.13	86.32	92.58	91.97	86.44	85.33	86.02	88.38	87.72	91.84	85.61
2022-07-19	pm 2:07:10	84.63	89.83	83.79	91.26	90.78	83.84	90.95	83.71	87.11	86.43	90.25	83.22
2022-07-19	pm 2:07:20	82.85	88.83	81.84	90.13	89.99	81.89	83.66	82.27	86.02	85.72	89.07	81.29
2022-07-19	pm 2:07:30	82.49	88.13	80.39	89.25	89.39	80.46	75.97	80.93	85.2	85.15	88.13	79.71
2022-07-19	pm 2:07:40	82.27	87.64	79.25	88.66	89	79.33	78.31	80.12	84.72	84.62	87.38	78.44
2022-07-19	pm 2:07:50	82.3	87.24	78.25	88.31	88.93	78.3	78.4	79.9	84.48	84.26	86.82	77.44
