기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140				
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거				
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739				
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel				
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1				
Date	Time	1	2	3	4	5	6	7	8				
2022-07-19	pm 3:37:10	95.09	95.15	95.16	95.69	94.99	95.99	95.57	94.37				
2022-07-19	pm 3:37:20	94.84	94.89	94.87	95.43	94.76	95.65	97.83	94				
2022-07-19	pm 3:37:30	93.04	94.78	93.72	95.25	92.93	95.52	93.66	93.86				
2022-07-19	pm 3:37:40	84.15	85.42	84.8	89.5	86	88.6	90.44	85.27				
2022-07-19	pm 3:37:50	77.59	78.58	79.3	83.78	81.43	81.89	84.12	78.2				
2022-07-19	pm 3:38:00	73.45	73.61	75.61	80.57	77.66	76.66	79.96	73.05				
2022-07-19	pm 3:38:10	70.24	69.52	72.9	78.36	74.76	72.84	73.36	69.42				
2022-07-19	pm 3:38:20	67.79	67.23	71	75.97	72.64	70.18	65.92	66.81				
2022-07-19	pm 3:38:30	65.09	65.16	68.05	73.51	70.58	67.75	70.07	64.41				
2022-07-19	pm 3:38:40	62.93	63.43	66.44	71.47	69.21	65.71	64.19	63.02				
2022-07-19	pm 3:38:50	61.39	62.02	64.95	70.07	67.74	63.84	65.62	61.36				
2022-07-19	pm 3:39:00	60.77	60.92	64.01	69.07	66.54	62.88	63.78	60.21				
2022-07-19	pm 3:39:10	59.53	60.17	62.58	67.71	65.96	62.05	63.43	59.28				
2022-07-19	pm 3:39:20	58.43	59.76	61.81	66.81	65.49	61.41	63.48	58.8				
2022-07-19	pm 3:39:30	57.3	59.41	61.14	65.97	64.71	60.97	62.38	58.41				
2022-07-19	pm 3:39:40	56.61	59.13	60.24	64.87	64.21	59.67	60.85	57.16				
2022-07-19	pm 3:39:50	55.55	58.61	59.69	64.06	63.28	59.19	60.82	56.65				
