기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140				
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거				
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739				
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel				
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1				
Date	Time	1	2	3	4	5	6	7	8				
2022-07-19	pm 3:04:40	81.75	83.21	78.3	81.52	82.81	81.76	79.47	81.89				
2022-07-19	pm 3:04:50	81.65	83.1	78.56	81.39	82.65	81.68	79.59	81.93				
2022-07-19	pm 3:05:00	80.41	81.82	77.56	80.65	80.93	81.05	77.94	80.94				
2022-07-19	pm 3:05:10	80.3	81.51	76.78	79.85	82.07	80.03	79.57	79.94				
2022-07-19	pm 3:05:20	82.96	84.18	80.99	81.29	84.77	82.18	83.51	81.86				
2022-07-19	pm 3:05:30	87.03	87.67	86.51	85.46	89.37	85.96	85.79	86.66				
2022-07-19	pm 3:05:40	91.39	91.73	91.18	90.06	93.53	90.61	88.75	91.25				
2022-07-19	pm 3:05:50	95.17	95.44	95.03	94.01	96.99	94.52	93.74	95.05				
2022-07-19	pm 3:06:00	98.37	98.62	98.27	97.38	99.9	97.84	96.99	98.28				
2022-07-19	pm 3:06:10	101.14	101.32	101.05	100.24	102.53	100.64	100.9	101.02				
2022-07-19	pm 3:06:20	103.67	103.82	103.59	102.84	104.93	103.2	103.59	103.55				
2022-07-19	pm 3:06:30	105.97	106.11	105.89	105.2	107.11	105.54	104.48	105.85				
2022-07-19	pm 3:06:40	108.06	108.18	107.99	107.36	109.1	107.67	109.02	107.96				
2022-07-19	pm 3:06:50	109.96	110.06	109.89	109.32	110.9	109.61	110.58	109.87				
2022-07-19	pm 3:07:00	111.64	111.73	111.59	111.07	112.49	111.34	112.85	111.56				
2022-07-19	pm 3:07:10	113.14	113.22	113.08	112.62	113.88	112.86	112.87	113.06				
2022-07-19	pm 3:07:20	114.46	114.54	114.42	114	115.13	114.21	113.98	114.4				
2022-07-19	pm 3:07:30	115.67	115.74	115.63	115.25	116.29	115.44	112.88	115.61				
2022-07-19	pm 3:07:40	116.77	116.84	116.74	116.39	117.35	116.57	116.89	116.73				
