Date	Time	102PH.DACA.PV
2022-10-22	11:37:00	7.36
2022-10-22	11:38:00	7.35
2022-10-22	11:39:00	7.34
2022-10-22	11:40:00	7.33
2022-10-22	11:41:00	7.32
2022-10-22	11:42:00	7.31
2022-10-22	11:43:00	7.3
2022-10-22	11:44:00	7.29
2022-10-22	11:45:00	7.28
2022-10-22	11:46:00	7.27
2022-10-22	11:47:00	7.26
2022-10-22	11:48:00	7.25
2022-10-22	11:49:00	7.25
2022-10-22	11:50:00	7.24
2022-10-22	11:51:00	7.23
2022-10-22	11:52:00	7.22
2022-10-22	11:53:00	7.21
2022-10-22	11:54:00	7.2
2022-10-22	11:55:00	7.24
2022-10-22	11:56:00	7.35
2022-10-22	11:57:00	7.35
2022-10-22	11:58:00	7.34
2022-10-22	11:59:00	7.33
2022-10-22	12:00:00	7.31
2022-10-22	12:01:00	7.31
2022-10-22	12:02:00	7.29
2022-10-22	12:03:00	7.28
2022-10-22	12:04:00	7.27
2022-10-22	12:05:00	7.26
2022-10-22	12:06:00	7.25
2022-10-22	12:07:00	7.24
2022-10-22	12:08:00	7.23
2022-10-22	12:09:00	7.22
2022-10-22	12:10:00	7.21
2022-10-22	12:11:00	7.2
2022-10-22	12:12:00	7.29
2022-10-22	12:13:00	7.37
2022-10-22	12:14:00	7.37
2022-10-22	12:15:00	7.35
2022-10-22	12:16:00	7.34
2022-10-22	12:17:00	7.33
2022-10-22	12:18:00	7.32
2022-10-22	12:19:00	7.31
2022-10-22	12:20:00	7.3
2022-10-22	12:21:00	7.28
2022-10-22	12:22:00	7.28
2022-10-22	12:23:00	7.26
2022-10-22	12:24:00	7.25
2022-10-22	12:25:00	7.24
2022-10-22	12:26:00	7.23
2022-10-22	12:27:00	7.22
2022-10-22	12:28:00	7.21
2022-10-22	12:29:00	7.2
2022-10-22	12:30:00	7.25
2022-10-22	12:31:00	7.37
2022-10-22	12:32:00	7.37
2022-10-22	12:33:00	7.36
2022-10-22	12:34:00	7.34
2022-10-22	12:35:00	7.33
2022-10-22	12:36:00	7.32
2022-10-22	12:37:00	7.3
2022-10-22	12:38:00	7.29
