Date	Time	102PH.DACA.PV
2022-12-05	11:51:00	7.09
2022-12-05	11:52:00	7.07
2022-12-05	11:53:00	7.06
2022-12-05	11:54:00	7.05
2022-12-05	11:55:00	7.04
2022-12-05	11:56:00	7.03
2022-12-05	11:57:00	7.02
2022-12-05	11:58:00	7.01
2022-12-05	11:59:00	7
2022-12-05	12:00:00	7.17
2022-12-05	12:01:00	7.22
2022-12-05	12:02:00	7.2
2022-12-05	12:03:00	7.19
2022-12-05	12:04:00	7.18
2022-12-05	12:05:00	7.16
2022-12-05	12:06:00	7.15
2022-12-05	12:07:00	7.14
2022-12-05	12:08:00	7.12
2022-12-05	12:09:00	7.11
2022-12-05	12:10:00	7.1
2022-12-05	12:11:00	7.09
2022-12-05	12:12:00	7.08
2022-12-05	12:13:00	7.06
2022-12-05	12:14:00	7.05
2022-12-05	12:15:00	7.04
2022-12-05	12:16:00	7.03
2022-12-05	12:17:00	7.02
2022-12-05	12:18:00	7.01
2022-12-05	12:19:00	7
2022-12-05	12:20:00	7.1
2022-12-05	12:21:00	7.1
2022-12-05	12:22:00	7.09
2022-12-05	12:23:00	7.07
2022-12-05	12:24:00	7.06
2022-12-05	12:25:00	7.04
2022-12-05	12:26:00	7.03
2022-12-05	12:27:00	7.02
2022-12-05	12:28:00	7
2022-12-05	12:29:00	7.03
2022-12-05	12:30:00	7.21
2022-12-05	12:31:00	7.21
2022-12-05	12:32:00	7.19
2022-12-05	12:33:00	7.18
2022-12-05	12:34:00	7.16
2022-12-05	12:35:00	7.15
2022-12-05	12:36:00	7.13
2022-12-05	12:37:00	7.12
2022-12-05	12:38:00	7.1
2022-12-05	12:39:00	7.09
2022-12-05	12:40:00	7.08
2022-12-05	12:41:00	7.06
2022-12-05	12:42:00	7.05
2022-12-05	12:43:00	7.04
2022-12-05	12:44:00	7.03
2022-12-05	12:45:00	7.01
2022-12-05	12:46:00	7
2022-12-05	12:47:00	7.1
2022-12-05	12:48:00	7.21
2022-12-05	12:49:00	7.2
2022-12-05	12:50:00	7.18
2022-12-05	12:51:00	7.17
2022-12-05	12:52:00	7.15
2022-12-05	12:53:00	7.14
2022-12-05	12:54:00	7.12
2022-12-05	12:55:00	7.11
2022-12-05	12:56:00	7.09
2022-12-05	12:57:00	7.07
2022-12-05	12:58:00	7.06
2022-12-05	12:59:00	7.04
2022-12-05	13:00:00	7.03
2022-12-05	13:01:00	7.02
2022-12-05	13:02:00	7
2022-12-05	13:03:00	7.04
2022-12-05	13:04:00	7.2
2022-12-05	13:05:00	7.2
2022-12-05	13:06:00	7.18
2022-12-05	13:07:00	7.16
2022-12-05	13:08:00	7.14
2022-12-05	13:09:00	7.13
2022-12-05	13:10:00	7.11
2022-12-05	13:11:00	7.09
2022-12-05	13:12:00	7.08
2022-12-05	13:13:00	7.06
2022-12-05	13:14:00	7.05
2022-12-05	13:15:00	7.03
2022-12-05	13:16:00	7.01
2022-12-05	13:17:00	7
2022-12-05	13:18:00	7.1
2022-12-05	13:19:00	7.21
2022-12-05	13:20:00	7.19
2022-12-05	13:21:00	7.17
2022-12-05	13:22:00	7.15
2022-12-05	13:23:00	7.13
2022-12-05	13:24:00	7.12
2022-12-05	13:25:00	7.1
2022-12-05	13:26:00	7.08
2022-12-05	13:27:00	7.06
2022-12-05	13:28:00	7.04
2022-12-05	13:29:00	7.03
2022-12-05	13:30:00	7.01
2022-12-05	13:31:00	7
2022-12-05	13:32:00	7.16
2022-12-05	13:33:00	7.19
2022-12-05	13:34:00	7.17
2022-12-05	13:35:00	7.15
2022-12-05	13:36:00	7.13
2022-12-05	13:37:00	7.11
2022-12-05	13:38:00	7.09
2022-12-05	13:39:00	7.08
2022-12-05	13:40:00	7.06
2022-12-05	13:41:00	7.04
2022-12-05	13:42:00	7.02
2022-12-05	13:43:00	7.01
2022-12-05	13:44:00	7.02
2022-12-05	13:45:00	7.19
2022-12-05	13:46:00	7.18
2022-12-05	13:47:00	7.17
2022-12-05	13:48:00	7.15
2022-12-05	13:49:00	7.13
2022-12-05	13:50:00	7.1
2022-12-05	13:51:00	7.09
2022-12-05	13:52:00	7.07
2022-12-05	13:53:00	7.05
2022-12-05	13:54:00	7.03
2022-12-05	13:55:00	7.01
2022-12-05	13:56:00	7
2022-12-05	13:57:00	7.17
2022-12-05	13:58:00	7.19
2022-12-05	13:59:00	7.17
2022-12-05	14:00:00	7.14
2022-12-05	14:01:00	7.12
2022-12-05	14:02:00	7.1
2022-12-05	14:03:00	7.08
2022-12-05	14:04:00	7.06
2022-12-05	14:05:00	7.04
2022-12-05	14:06:00	7.02
2022-12-05	14:07:00	7
2022-12-05	14:08:00	7.07
2022-12-05	14:09:00	7.19
2022-12-05	14:10:00	7.17
2022-12-05	14:11:00	7.15
2022-12-05	14:12:00	7.13
2022-12-05	14:13:00	7.1
2022-12-05	14:14:00	7.08
2022-12-05	14:15:00	7.06
2022-12-05	14:16:00	7.04
2022-12-05	14:17:00	7.02
2022-12-05	14:18:00	7
2022-12-05	14:19:00	7.13
2022-12-05	14:20:00	7.19
2022-12-05	14:21:00	7.17
2022-12-05	14:22:00	7.14
2022-12-05	14:23:00	7.12
