"공정 
 
  배치번호"	공정일자	투입배지 Lot No.				제조사 Lot No.(소형발효점도)				YEO LOD값	YEO 점도(Cp)	YEO 점도(Cp)	특이사항	"특이사항
 (내부 확인용)"	본배양					균체제거						한외여과		흡착			벌크 회수					침전	QC Release (LIMS)					QC IPC(LIMS)					"연구소
 (자체분석)"
															"P.68
HSB18022		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00090
 (11377cP)"		"AC17A00120
 (10505cP)"							1181								0.083		3827	100	4144	1	6.3	3570	7.5	1678	1824	3522	3,119		88.574		112			0.15	0.02	0.02	22	0	
HSB18023		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00090
 (11377cP)"		"AC17A00120
 (10505cP)"															0.142		3991	100	4738	1.1	6.5	3596	7.7	1689	1848	3557	3,161		88.87		112			0.15	0.02	0.02	23	0	
HSB18024		Y171110064				"AC17A00120
 (10505cP)"									1174								0.144		4274	100	3872	0.7	6.9	3549	8.1	1562	1889	3471	3,082		88.777		115			0.15	0.02	0.02	28	0	3382
HSB18025		Y171110064				"AC17A00120
 (10505cP)"									1168								0.071		4112	160	3684	0.8	6.4	3504	10.6			3576	-		86.603		106			0.15	0.02	0.02	0	0	
HSB18026		Y171110064				"AC17A00120
 (10505cP)"									1185								0.095		4062	128	4146	1.6	6.8	3547	8.6	1681	1763	3464	3,082		88.981		112			0.15	0.02	0.02	12	0	3482
HSB18027		Y171110064				"AC17A00120
 (10505cP)"									1163								0.086		4063	123	3969	1.3	6.1	3595	9.8	1576	1930	3526	3,065		86.928		109			0.15	0.02	0.02	11	0	
HSB18028		Y171110064				"AC17A00120
 (10505cP)"									1177								0.102		3885	105	3790	1.2	6.2	3472	6.3	2186	1074	3280	2,968		90.502		112			0.15	0.02	0.02	26	0	3300
HSB18029		Y171110064				"AC17A00120
 (10505cP)"									1178								0.132		3890	100	3995	0.8	6.2	3572	9.7	1540	2013	3573	3,066		85.816		115			0.15	0.02	0.02	29	0	3455
HSB18030		Y171110064				"AC17A00120
 (10505cP)"									1178								0.096		3757	100	3700	0.9	6.2	3329	8.5	1750	1506	3276	2,870		87.599		118			0.15	0.02	0.02	16	0	3449
HSB18031		Y171110064				"AC17A00120
 (10505cP)"									1188								0.066		3737	130	3928	2.2	6.1	3492	10.1	1580	2024	3624	3,113		85.899		109			0.15	0.02	0.02	23	0	
HSB19001		Y171110064				"AC17A00120
 (10505cP)"									1186								0.078		3921	150	3489	2.7	6.1	3575	10.9	1932	1537	3489	3011		86.292	0.01	112			0.15	0.02	0.02	1	0	
HSB19002		Y171110064				"AC17A00120
 (10505cP)"									1177								0.095		3741	100	3971	2.6	6	3523	12.4	1737	1837	3594	3020		84.019	0.01	112			0.15	0.02	0.02	14	0	3391
HSB19003		Y171110064				"AC17A00120
 (10505cP)"									1170								0.063		3897	160	3929	2.5	6.4	3677	10.6	1550	1973	3543	3036		85.7	0.01	109			0.15	0.02	0.02	5	0	3321
HSB19004		Y171110064				"AC17A00120
 (10505cP)"									1174								0.074		4108	155	3911	1.6	5.9	3592	6.3	1957	1517	3494	3160		90.436	0.01	109			0.15	0.02	0.02	2	0	3316
HSB19005		Y171110064				"AC17A00120
 (10505cP)"									1183								0.087		4020	140	3819	1.4	6	3574	7.2	1956	1346	3322	2970		89.402	0.01	112			0.3	0.02	0.02	9	0	3336
HSB19006		Y171110064				"AC17A00120
 (10505cP)"									1180								0.078		3996	125	3707	1.9	6.5	3492	6.6	1629	1707	3356	2967		88.415	0.01	115			0.15	0.02	0.02	23	0	3293
HSB19007		Y171110064				"AC17A00120
 (10505cP)"									1196								0.074		3939	150	3852	2.1	6.5	3521	11.5	1490	1812	3322	2941		88.534	0.01	112			0.15	0.02	0.02	0	0	3325
HSB19008		Y171110064				"AC17A00120
 (10505cP)"									1175								0.067		4200	130	3805	2.7	6.4	3522	7.5	1973	1492	3485	3085		88.531	0.01	109			0.15	0.02	0.02	14	0	3296
HSB19009		Y171110064				"AC17A00120
 (10505cP)"									1172								0.097		4140	100	3824	1.5	6.3	3453	6.7	1611	1720	3351	3023		90.195	0.01	112			0.3	0.02	0.02	5	0	3398
HSB19010		Y171110064				"AC17A00120
 (10505cP)"									1168								0.14		4039	100	3775	1.6	6.3	3430	10.3	1620	1701	3341	2971		88.92	0.01	112			0.15	0.02	0.02	6	0	3476
HSB19011		Y171110064				"AC17A00120
 (10505cP)"									1176								0.094		3796	100	3866	1.6	6.3	3510	5.6	1813	1610	3443	3120		90.611	0.01	112			0.6	0.02	0.02	34	0	3465
HSB19012		Y171110064				"AC17A00120
 (10505cP)"									1166								0.127		4086	100	3847	1.2	6.3	3695	5.3	1743	1611	3374	3055		90.537	0.01	112			0.6	0.02	0.02	12	0	3392
HSB19013	19.04.22~19.05.01	Y171110064				"AC17A00120
 (10505cP)"									1174								0.067		4144	150	3952	0.9	6.6	3605	7.5	1719	1795	3534	3142		88.901	0.01	109			1.5	0.02	0.02	17	0	3241
HSB19014	19.05.06~19.05.15	Y190314004				AC18A06800 (9848cP)									1187								0.052		4074	140	4000	0.7	7.1	3574	6.7	1991	1470	3481	3089		88.744	0.01	100			1.5	0.02	0.02	10	0	3034
HSB19015	19.05.13~19.05.22	Y190314004				AC18A06800 (9848cP)									1154								0.056		4318	140	3865	2.7	7.3	3641	7.6	1838	1707	3565	3144		88.182	0.01	100			1.5	0.02	0.02	23	0	3059
HSB19016	19.05.20~19.05.29	Y190314004				AC18A06800 (9848cP)									1172								0.052		3951	140	3846	1.1	7.1	3617	6.9	1895	1651	3566	3208		89.946	0.01	100			1.5	0.02	0.02	0	0	3126
HSB19017	19.05.27~19.06.05	Y171110064				"AC17A00120
 (10505cP)"									1163								0.092		4151	120	3851	1.5	7.9	3603	6	1748	1661	3429	3065		89.384	0.01	109			1.5	0.02	0.02	4	0	3154
HSB19018	19.06.03~19.06.12	Y171110064				"AC17A00120
 (10505cP)"									1160								0.085		4165	100	3838	1.1	8.6	3515	7.2	1718	1699	3437	3059		89	0.01	112			1.5	0.03	0.02	2	0	3327
HSB19019	19.06.10~19.06.19	Y171110064				"AC17A00120
 (10505cP)"									1175								0.072		4054	100	3816	1.6	8.6	3610	6.7	1852	1547	3419	3081		90.113	0.01	109			1.5	0.03	0.02	4	0	2990
HSB19020	19.06.17~19.06.26	Y171110064				"AC17A00120
 (10505cP)"									1158								0.057		3999	105	3768	2	8.4	3517	8.3	1824	1553	3397	3063		90.177	0.01	109			1.5	0.06	0.02	10	0	3061
HSB19021	19.06.24~19.07.03	Y171110064				"AC17A00120
 (10505cP)"									1162								0.09		4124	140	3837	1.7	8.4	3760	5.7	1766	1733	3519	3169		90.054	0.01	106			0.6	0.06	0.02	45	0	
HSB19022	19.07.08~19.07.17	Y171110064				"AC17A00120
 (10505cP)"									1176								0.073		3955	150	3941	1	7.6	3544	8.7	1852	1568	3440	3138		91.233	0.01	103		5.8	0.6	0.02	0.02	3	0	
HSB19023	19.07.15~19.07.24	Y171110064				"AC17A00120
 (10505cP)"									1171								0.073		3856	135	3930	2.6	6.9	3514	5.9	1854	1483	3357	3115		92.794	0.01	106		3.5	0.6	0.02	0.02	4	0	
HSB19024	19.07.22~19.07.31	Y171110064				"AC17A00120
 (10505cP)"									1154								0.092		4096	120	3834	0.9	8.1	3724	5.8	1610	1781	3411	3141		92.073	0.01	109		3.9	0.6	0.02	0.02	12	0	
HSB19025	19.08.05~19.08.12	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1152								0.052		3700	150	3774	1.9	8.5	3625	9.5	2077	1505	3602	3203		88.912	0.01	97		8.3	0.6	0.03	0.02	5	0	
HSB19026	19.08.10~19.08.17	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1166								0.073		4162	130	3711	0.4	8.4	3484	6	2031	1439	3490	3139		89.944	0.01	94		7.8	0.15	0.02	0.02	15	0	
HSB19027	19.08.15~19.08.22	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1152								0.047		3911	130	3334	1.5	8.4	3611	6.5	1911	1635	3566	3222		90.355	0.01	94		6.9	0.15	0.02	0.02	17	0	2933
HSB19028	19.08.20~19.08.27	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1142								0.056		3800	165	3725	2.8	8	3751	8.7	2006	1545	3571	3161		88.505	0.01	94		9.8	0.15	0.02	0.02	14	0	2826
HSB19029	19.08.25~19.09.01	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1157								0.056		4159	150	3937	2.3	8.5	3813	5.6	1630	2029	3679	3378		91.831	0.01	97		7.3	0.15	0.02	0.02	8	0	2875
HSB19030	19.08.30~19.09.06	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1160								0.056		4151	160	3824	2.8	7.5	3328	4.8	1422	2109	3551	3247		91.442	0.01	97	0.00241	5.7	0.15	0.02	0.02	7	0	2796
HSB19031	19.09.04~19.09.11	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1177								0.051		4059	140	3848	1.3	7.3	3616	7.3	1883	1583	3486	3187		91.427	0.01	97	0.00832	5.1	0.15	0.02	0.02	5	0	
HSB19032	19.09.16~19.09.23	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1160								0.05		4054	150	3704	2.4	7.3	3535	7	1719	1814	3553	3191		89.818	0.01	97	0.0826	7.5	0.15	0.02	0.02	17	0	
HSB19033	19.09.21~19.09.28	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1121								0.051		3874	160	3731	1.9	7.7	3457	8.5	1622	1846	3488	3069		87.993	0.01	97	0.00485	9.4	0.15	0.02	0.02	0	0	
HSB19034	19.09.26~19.10.03	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1156								0.051		4090	150	3798	2.5	7.8	3565	7.9	1827	1714	3561	3156		88.627	0.01	97	0.00887	9	0.15	0.02	0.02	0	0	
HSB19035	19.10.01~19.10.08	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1156								0.046		3963	160	3719	2.5	7.8	3252	8.5	1807	1602	3429	3038		88.606	0.01	97	0.01819	9.2	0.15	0.02	0.02	14	0	
HSB19036	19.10.06~19.10.13	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1146								0.046		3957	150	3707	2.4	7.7	3450	14.1	1951	1675	3646	3041		83.404	0.01	97	0.00059	14.7	0.15	0.02	0.02	8	0	
HSB19037	19.10.11~19.10.18	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1160								0.059		3708	160	3899	1.8	7.4	3588	10.3	1990	1554	3564	3104		87.098	0.01	109	0.02109	10.7	0.15	0.02	0.02	6	0	
HSB19038	19.10.16~19.10.23	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1153								0.057		3993	160	3789	1.5	7.6	3543	8.2	2176	1309	3505	3093		88.24	0.01	103	0.005	9.3	0.15	0.02	0.02	23	0	
HSB19039	19.10.21~19.10.28	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1148								0.063		3872	150	4165	0.5	7.7	3643	10.4	1621	2018	3659	3183		86.978	0.01	106	0.01367	10.4	0.15	0.02	0.02	39	0	
HSB19040	19.10.26~19.11.02	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1160								0.063		4234	150	4046	1.4	7.7	3687	10.1	1976	1609	3605	3142		87.162	0.01	109	0.01505	10.1	0.15	0.02	0.02	44	0	
HSB19041	19.10.31~19.11.07	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1164								0.056		3808	160	3870	1	7.7	3613	6.2	1740	1780	3540	3185		89.973	0.01	103	0.03031	7.5	0.15	0.02	0.02	42	0	
HSB19042	19.11.05~19.11.12	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1152								0.056		3895	154	3987	1.6	7.7	3520	10.4	1864	1742	3626	3143		86.684	0.01	106	0.00397	11.3	0.15	0.02	0.02	56	0	
HSB19043	19.11.10~19.11.17	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1166								0.072		4130	140	3998	2.5	7.7	3664	7.9	1705	1776	3501	3130		89.409	0.01	106	0.00408	8.4	0.15	0.02	0.02	38	0	
HSB19044	19.11.20~19.11.27	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1164								0.057		3941	140	4165	1.6	7.6	3649	9.6	1501	2070	3591	3135		87.308	0.01	106	0.01173	11.1	0.15	0.02	0.02	0	0	
HSB19045	19.11.25~19.12.02	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1167								0.068		4181	130	4028	1.6	7.7	3760	9.9	1977	1602	3599	3156		87.679	0.01	109	0.03508	10.6	0.15	0.02	0.02	35	0	2961
HSB19046	19.11.30~19.12.07	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1143								0.055		4477	200	4062	1.8	7.7	3802	12.3	2299	1555	3874	3285		84.788	0.01	103	0.03543	12.5	0.15	0.02	0.02	31	0	2817
HSB19047	19.12.05~19.12.12	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1159								0.081		4062	125	4291	2	7.6	3565	8.5	2265	1307	3592	3180		88.531	0.01	109	0.02445	8.2	0.15	0.02	0.02	33	0	2987
HSB19048	19.12.10~19.12.17	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1156								0.045		4085	190	3711	2.2	7.7	3567	8	1681	1721	3422	3105		90.731	0.01	100	0.02801	8.6	0.15	0.02	0.02	35	0	
HSB19049	19.12.15~19.12.22	Y171110064	Y190314004			"AC17A00120
 (10505cP)"		AC18A06800 (9848cP)							1168								0.056		4077	180	4104	1.2	7.6	3549	11.1	1602	2035	3657	3166		86.561	0.01	103	0.01286	11.4	0.15	0.02	0.02	46	0	
HSB19050	19.12.20~19.12.27	Y171110064				"AC17A00120
 (10505cP)"									1144								0.064		3816	170	3714	0.8	7.6	3543	11.3	1893	1548	3461	3018		87.209	0.01	106	0.01853	11	0.15	0.02	0.02	9	0	
HSB19051	19.12.25~20.01.01	Y171110064				"AC17A00120
 (10505cP)"									1146								0.097		3852	140	3715	2.5	7.5	3568	11.2	1811	1634	3465	3026		87.336	0.01	112	0.04119	12	0.3	0.02	0.02	5	0	
HSB19052	19.12.30~20.01.06	Y180621028	Y171110064(0.54)	Y180621028											1147								0.041		4165	246	3670	0.5	7.7	3404	10.2	1848	1628	3496	3058		87.463	0.01	94	0.00624	10.7	0.15	0.02	0.02	5	0	
HSB20001	20.01.04~20.01.11	Y180621028	Y180621028(0.60)	Y190314004(0.40)											1145								0.056		4545	180	3983	2	7.7	3582	12.5	1726	1938	3684	3153		85.594	0.01	100	0.02383	13	0.15	0.02	0.02	4	0	
HSB20002	20.03.30~20.04.08	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1081								0.05		4197	175	3853	2.7	7.7	3559	7.4	1757	1665	3442	3082		89.525	0.01	97	0.01185	9	0.3	0.02	0.03	52	0	
HSB20003	20.04.06~20.04.15	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1187								0.052		4165	180	4014	1.3	7.6	3672	6.6	1961	1525	3506	3155		90.002	0.01	97	0.02708	7	0.15	0.02	0.02	15	0	
HSB20004	20.04.13~20.04.22	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1103								0.05		4249	165	4246	1.7	7.6	3550	10.2	1910	1715	3645	3137		86.062	0.01	97	0.00103	12.1	0.15	0.02	0.02	16	0	
HSB20005	20.04.27~20.05.06	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1104								0.046		4132	200	3916	1.8	7.6	3644	4.9	2098	1377	3495	3145		89.993	0.01	100	0.00317	7.5	0.15	0.02	0.02	23	0	2729
HSB20006	20.05.04~20.05.13	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1107								0.054		4193	171	4090	2.5	7.6	3748	4	1858	1711	3589	3292		91.731	0.01	97	0.00288	5.5	0.15	0.02	0.02	46	0	2579
HSB20007	20.05.11~20.05.20	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1105								0.047		4169	195	4059	2	7.6	3611	7.8	2023	1511	3554	3146		88.526	0.01	97	0.00789	8.7	0.15	0.02	0.02	42	0	2544
HSB20008	20.05.18~20.05.27	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1090								0.051		4050	196	3775	1.5	7.6	3564	5.7	1914	1509	3443	3089		89.728	0.01	100	0.0211	7.4	0.15	0.02	0.02	25	0	2651
HSB20009	20.08.24~20.09.02	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1122								0.05		4259	200	4082	2.4	7.5	3571	5.3	1780	1616	3416	3145		92.062	0.01	106	0.00634	6.5	0.15	0.02	0.02	23	0	2992
HSB20010	20.08.31~20.09.09	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1132								0.046		4214	210	3877	2.4	7.2	3749	6.7	1855	1520	3395	3078		90.663	0.01	103	0.01144	7.4	0.15	0.02	0.02	0	0	2883
HSB20011	20.09.07~20.09.16	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1146								0.046		4042	202	3930	2.1	7.1	3526	7.1	1871	1524	3415	3055		89.458	0	103	0.00077	8.5	0.6	0.02	0.02	12	0	2848
HSB20012	20.09.21~20.09.30	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1120								0.048		3997	205	4004	2.2	7.1	3580	6.6	1875	1584	3479	3107		89.298	0.01	100	0.00002	9	0.15	0.02	0.02	0	0	2741
HSB20013	20.10.26~20.11.04	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1126								0.048		4211	250	3909	1.6	7.1	3653	3.8	1659	1725	3404	3196		93.899	0.01	100	0.01692	4.7	0.15	0.02	0.02	7	0	2657
HSB20014	20.12.18~20.12.25	Y190314004	Y190314004	Y190314004		AC18A06800 (9848cP)	AC18A06800 (9848cP)	AC18A06800 (9848cP)							1114								0.046		4155	220	3996	1.7	7.2	3722	10.8	2386	1286	3692	3185		86.266	0.01	100	0.03457	12.8	0.15	0.02	0.02	8	0	2638
HSB20015	20.12.23~20.12.30	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1119								0.046		4010	200	3884	2.6	7	3538	8.3	2207	1283	3510	3118		88.828	0.01	103	0.05139	10.4	0.15	0.02	0.02	3	0	2852
HSB20016	20.12.28~21.01.04	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1131								0.054		3886	175	3859	1.5	7	3569	9.6	1789	1736	3545	3076		86.774	0.01	103	0.07008	11.3	0.15	0.02	0.02	38	0	2778
HSB20017	21.01.02~21.01.09	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1123								0.056		4099	175	4018	1.3	7	3592	12	1833	1844	3697	3142		84.987	0.01	103	0.08766	13.3	0.15	0.02	0.02	81	0	2838
HSB21001	21.01.07~21.01.14	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1114								0.055		4041	175	3991	2.2	7	3724	9.9	1834	1758	3612	3134		86.772	0.01	106	0.07189	11.4	0.15	0.02	0.02	169	0	2669
HSB21002	21.01.12~21.01.19	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1117								0.071		4173	134	4104	2.5	6.9	3609	10.9	2090	1450	3560	3082		86.583	0.01	106	0.00659	12.6	0.15	0.02	0.02	127	0	2683
HSB21003	21.01.22~21.01.29	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1115								0.047		4123	160	4190	1.8	6.7	3678	8.6	1947	1738	3705	3250		87.725	0.01	106	0.08144	10.5	0.15	0.02	0.03	146	0	2827
HSB21004	21.02.01~21.02.08	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1126								0.048		4044	210	3779	2.6	6.8	3516	4.6	1597	1743	3360	3063		91.165	0.01	100	0.0554	7.1	0.15	0.02	0.02	0	0	
HSB21005	21.02.22~21.03.01	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1127								0.051		4124	171	4097	1.9	6.7	3738	9.2	1595	2044	3659	3185		87.051	0.01	100	0.0109	12	0.15	0.02	0.02	46	0	
HSB21006	21.03.04~21.03.11	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1115								0.011		4093	205	3997	2.6	6.6	3559	6.6	2090	1451	3561	3166		88.897	0.01	97	0.04385	9.3	0.15	0.02	0.02	73	0	
HSB21007	21.03.19~21.03.26	Y200519001	Y200227101	Y200227101		AC19A06000 (12346 cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1071								0.005		4131	166	4047	1.8	6.7	3613	5.9	1961	1602	3583	3236		90.319	0.01	100	0.03392	8.1	0.15	0.02	0.02	7	0	
HSB21008	21.03.24~21.03.31	Y200519001	Y200227101	Y200227101		AC19A06000 (12346 cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1112								0.055		4064	156	4003	2.3	6.6	3650	8	1770	1820	3610	3176		87.988	0.01	103	0.02342	10	0.15	0.02	0.02	31	0	
HSB21009	21.03.29~21.04.05	Y200519001	Y200227101	Y200227101		AC19A06000 (12346 cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1104								0.045		4003	170	3932	1.7	6.6	3561	5.3	2087	1344	3451	3140		90.977	0.01	100	0.0265	7.8	0.3	0.02	0.02	114	0	
HSB21010	21.04.03~21.04.10	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1112								0.041		3916	161	4166	1.9	6.6	3599	7.3	1776	1735	3531	3152		89.276	0.01	103	0.01782	9.4	0.15	0.02	0.02	119	0	
HSB21011	21.04.15~21.04.22	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1118								0.048		3806	160	3835	2.6	6.6	3524	3.3	1648	1697	3365	#REF!		#REF!	0.01	100	0.02027	5.61	0.15	0.02	0.02	80	0	
HSB21012	21.04.20~21.04.27	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1105								0.049		4044		4101	2.9	6.6	3697	5.2	1932	1597	3549	#REF!		#REF!	0.01	100	0.01434	7.31	0.3	0.02	0.02	127	0	
HSB21013	21.04.25~21.05.02	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1108								0.045		3975		3870	1.8	6.7	3664	5.9	1691	1850	3561	3188		89.527	0.01	100	0.04	8.3	0.15	0.02	0.02	85	0	
HSB21014	21.05.07~21.05.14	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1108								0.045		4063		4314	1.6	6.6	3688	5.6	2104	1496	3620	3212		88.742	0.01	103	0.01	8.41	0.3	0.02	0.02	116	0	
HSB21015	21.04.20~21.04.27	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1105								0.047		4012		4178	2	6.7	3777	5.6	1917	1722	3659	3371		92.137	0.01	93.9	0.02	7.9	0.6	0.02	0.02	164	0	
HSB21016	21.06.06~21.06.13	Y200227101	Y200227101	Y200227101		AC19A00790 (9953cP)	AC19A00790 (9953cP)	AC19A00790 (9953cP)							1147								0.056		4291		4025	2.7	6.3	3803	6.3	1906	1733	3659	3352		91.609	0.01	96.9	0.01	7.81	0.15	0.02	0.02	35	0	
HSB21017	21.06.11~21.06.18	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1120								0.013		4185		4029	2.5	6.6	3611	5.3	1930	1605	3555	3245		91.279	0.01	96.9	0.01	8.62	0.15	0.02	0.02	58	0	
HSB21018	21.06.16~21.06.23	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1124								0.044		4143		4018	2.1	6.5	3688	5	1617	1915	3552	3271		92.101	0.01	100	0.01	6.94	0.15	0.02	0.02	55	0	
HSB21019	21.06.21~21.06.28	Y210504002	Y210504002	Y210504002		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1128								0.061		3602		3692	2.3	6.5	3327	5.3	1856	1420	3296	3019		91.601	0.01	100	0	7.52	0.15	0.02	0.02	16	0	
HSB21020	21.06.26~21.07.03	Y210504002	Y210504002	Y210504002		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1120								0.053		3934		3878	1.7	6.6	3477	5.6	1840	1531	3864	3557		92.052	0.01	100	0.01	7.42	0.6	0.02	0.02	31	0	
HSB21021	21.07.01.~21.07.08	Y210504002	Y210504002	Y210504002		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1126								0.049		3915		3731	2.2	6.7	3393	5	1843	1396	3259	2985		91.595	0.01	100	0	7.75	0.6	0.02	0.02	62	0	
HSB21022	21.07.06.~21.07.13	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1111								0.047		4285		4152	1.4	6.6	3716	4	2011	1491	3522	3224		91.529	0.01	100	0.01	7.63	0.15	0.02	0.02	3	0	
HSB21023	21.07.11~21.07.18	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1116								0.045		3930		4036	2.1	6.7	3642	4	1963	1616	3599	3318		92.188	0.01	96.9	0	7.33	0.15	0.02	0.02	0	0	
HSB21024	21.08.04.~21.08.11	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1130								0.042		3967		4092	1.3	6.7	3671	4	1886	1633	3539	3250		91.843	0.01	100	0.01	7.89	0.15	0.02	0.02	12	0	
