"공정 
 
  배치번호"	공정일자	투입배지 Lot No.				제조사 Lot No.(소형발효점도)				YEO LOD값	YEO 점도(Cp)	YEO 점도(Cp)	특이사항	"특이사항
 (내부 확인용)"	본배양					균체제거						한외여과		흡착			벌크 회수					침전	QC Release (LIMS)					QC IPC(LIMS)					"연구소
 (자체분석)"
															"P.68
HSB16004		Y150707006				51400640									1241								0.041		4231	160	2670	2.9	5.9	2452	5.9			2363					106								
HSB16005		Y150707006				51400640									1213								0.079		4826	160	4053	2.3	6	3770	6.7			3690					109								
HSB16006		Y150707006				51400640									1220								0.056		4682	160	3770	2.1	6.1	3508	5.6			3464					103								
HSB16007		Y150707006				51400640									1231								0.061		4535	160	3764	2.9	6.1	3428	8			3462					103								
HSB16008		Y150707006				51400640									1228								0.063		4454	160	3765	2.2	6.3	3534	6.7			3347					103								
HSB16009		Y150707006				51400640									1198								0.046		4568	160	3659	2.3	6.7	3347	8.4			3374					103								
HSB16010		Y150707006				51400640									1211								0.029		4541	160	3594	1.2	6.5	3395	7.1			3348					100								
HSB16011		Y150707006				51400640									1221								0.061		4630	160	3834	1.9	6.6	3576	7.2			3516					103								
HSB16012		Y150707006				51400640									1226								0.045		4394	160	3641	2.4	6.9	3407	9.2			3421					100								
HSB16013		Y150707006	Y160308011			51400640		51500330							1209								0.048		4198	160	3527	2	6.7	3274	8.2			3310					100								
HSB16014		Y160308011						51500330							1220								0.067		4494	160	3662	2.6	6.7	3313	7.5			3356					100								
HSB16015		Y160308011						51500330							1199								0.049		4540	160	3588	1.5	6.7	3287	7.4			3300					100								
HSB16016		Y160308011						51500330							1203								0.051		4345	160	3508	2.5	7	3277	6.7			3294					100								
HSB16017		Y160308011						51500330							1199								0.062		4450	160	3510	1.9	7	3302	7.3			3285					103								
HSB16018		Y160308011						51500330							1225								0.06		4112	160	3553	2.5	7	3244	7.3			3217					100								
HSB16019		Y160308011						51500330							1228								0.058		4384	160	3581	1.8	6.8	3209	6.6			3228					103								
HSB16020		Y160308011						51500330							1221								0.054		4320	160	3587	0.8	6.7	3226	9.6			3208					100								
HSB16021		Y160308011						51500330							1200								0.069		4376	160	3548	2.1	7	3218	6.4			3240					100								
HSB16022		Y160308011						51500330							1205								0.056		4263	160	3518	2.2	6.8	3337	6.5			3230					100								
HSB16023		Y160308011						51500330							1205								0.039		4359	160	3503	1.3	6.9	3219	5.2			3135					94								
HSB16024		Y160308011						51500330							1209								0.047		4382	160	3569	1.2	6.8	3110	5.4			3178					103								
HSB16025		Y160308011						51500330							1206								0.06		4495	160	3569	2.1	6.8	3414	3.8			3201					100								
HSB16026		Y160308011						51500330							1232								0.061		4314	160	3604	1	6.8	3280	6.7			3165					100								
HSB16027		Y160308011						51500330							1226								0.068		4431	160	3509	1.7	6.7	3288	6.8			3233					103								
HSB16028		Y160527013				"051500340
 (10188cP)"									1229								0.054		4519	160	3617	2	6.8	3485	7			3412					103								
HSB16029		Y160527013	Y160308011			"051500340
 (10188cP)"		51500330							1208								0.047		4727	160	3643	2.6	6.8	3322	7.5			3398					100								
HSB16030		Y160527013	Y160308011			"051500340
 (10188cP)"		51500330							1221								0.056		4240	151	3551	2.4	6.8	3235	5.6			3239					103								
HSB16031		Y160527013	Y160308011			"051500340
 (10188cP)"		51500330							1204								0.066		4296	160	3640	2.3	6.8	3298	8.1			3295					100								
HSB16032		Y160308011						51500330							1218								0.047		4286	160	3466	2.3	6.8	3198	6.8			3200					94								
HSB16033		Y160527013	Y160308011			"051500340
 (10188cP)"		51500330							1215								0.066		4512	160	3610	2.4	6.8	3329	6.8			3376					103								
HSB16034		Y161004002				"051500550
 (13178cP)"									1223								0.053		4126	160	3587	2.8	6.8	3266	8.2			3252					103								
HSB16035		Y161004003				"051600170
 (13200cP)"									1218								0.064		4533	160	3669	2.8	6.8	3325	9.2			3318					106								
HSB16036		Y160527013				"051500340
 (10188cP)"									1231								0.06		4696	160	3747	1.5	6.8	3478	6.8			3381					103								
HSB16037		Y160527013				"051500340
 (10188cP)"									1198								0.07		4833	160	3799	2.5	6.8	3592	4.8			3441					103								
HSB16038		Y160527013				"051500340
 (10188cP)"									1197								0.054		4963	160	3768	2.2	6.8	3423	7.1			3440					103								
HSB16039		Y160527013				"051500340
 (10188cP)"									1224								0.054		4742	160	3666	1.5	6.7	3267	5.2			3380					103								
HSB16040		Y160527013				"051500340
 (10188cP)"									1238								0.074		5111	160	3976	2.5	6.7	3701	5.7			3650					103								
HSB16041		Y160527013				"051500340
 (10188cP)"									1221								0.051		4692	160	3730	1.5	6.8	3420	8.6			3480					100								
HSB16042		Y160527013				"051500340
 (10188cP)"									1241								0.058		4777	165	3859	0.5	6.8	3452	10.3			3554					106								
HSB16043		Y161004002				"051500550
 (13178cP)"									1214								0.045		4380	165	3637	1.1	6.9	3270	10.6			3362					100								
HSB16044		Y161004003				"051600170
 (13200cP)"									1210								0.049		4642	160	3591	1.7	6.8	3292	6			3352					103								
HSB17001		Y160527013(종)	Y161004002(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1210								0.053		4443	160	3522	2.1	6.8	3211	11			3337	2,896				103								
HSB17002		Y160527013(종)	Y161004002(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1216								0.046		4498	164	3615	1.7	6.7	3300	9.6			3389	3,005				100								
HSB17003		Y160527013(종)	Y161004002(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1210								0.038		4377	160	3402	1.2	6.7	3174	9.5			3185	2,838				100								
HSB17004		Y160527013(종)	Y161004002(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1248								0.039		4302	155	3611	2.5	6.8	3309	10.1			3313	2,974				97								
HSB17005		Y160527013(종)	Y161004002(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1180								0.026		4444	160	3469	2.2	6.8	3280	6.8			3192	2,914				91								
