	광역시도	시도	20-39세여자	20-39세합계	65세이상합계	인구수남자	인구수여자	인구수합계	소멸비율	소멸위기지역	ID	x	y	여성비	2030여성비
191	전라남도	무안군	8880	18552	16175	41153	40956	82109	1.097990726	0	무안	1	21	-0.119962489	-2.13454075
192	전라남도	보성군	3273	7190	15269	21503	22966	44469	0.428711769	1	보성	3	24	1.644966156	-4.478442281
193	전라남도	순천시	34101	71228	37961	138959	139589	278548	1.796633387	0	순천	4	22	0.113086434	-2.124164654
194	전라남도	신안군	2925	7448	13811	22555	20097	42652	0.423575411	1	신안	0	21	-2.881459252	-10.72771214
195	전라남도	여수시	32787	71444	46632	146565	142423	288988	1.40620175	0	여수	4	23	-0.716638753	-4.108112648
196	전라남도	영광군	5077	11079	14773	27724	27894	55618	0.687335003	1	영광	1	19	0.152828221	-4.174564491
197	전라남도	영암군	5218	11928	13574	29253	27792	57045	0.768822749	1	영암	1	23	-1.280567973	-6.254191818
198	전라남도	완도군	4184	9485	15623	26285	26383	52668	0.535620559	1	완도	2	25	0.093035619	-5.888244597
199	전라남도	장성군	4202	9060	12546	23275	22829	46104	0.669854934	1	장성	2	19	-0.483689051	-3.620309051
200	전라남도	장흥군	3172	6994	12610	19670	20999	40669	0.503092784	1	장흥	2	24	1.633922644	-4.646840149
201	전라남도	진도군	2435	5438	10105	15701	16377	32078	0.481939634	1	진도	0	24	1.053681651	-5.222508275
202	전라남도	함평군	2529	5700	11302	17047	17350	34397	0.44753141	1	함평	1	20	0.440445388	-5.631578947
203	전라남도	해남군	6448	13346	21549	36538	38583	75121	0.598450044	1	해남	0	23	1.361137365	-1.685898397
204	전라남도	화순군	6342	13044	15516	32113	33190	65303	0.817478732	1	화순	4	21	0.824617552	-1.379944802
205	전라북도	고창군	4926	11017	17857	29927	30670	60597	0.551716414	1	고창	1	18	0.613066653	-5.287283289
206	전라북도	군산시	32329	69517	42810	140793	136758	277551	1.51034805	0	군산	2	16	-0.726893436	-3.494828603
207	전라북도	김제시	7493	16491	24850	43527	44255	87782	0.60305835	1	김제	3	17	0.414663598	-4.563095022
208	전라북도	남원시	7551	16010	20711	41341	42847	84188	0.729177732	1	남원	5	18	0.894426759	-2.83572767
209	전라북도	덕진구	38843	79876	36231	144270	145629	289899	2.144185918	0	전주 덕진	3	18	0.234391978	-1.370874856
210	전라북도	무주군	1906	4217	7527	12371	12578	24949	0.50644347	1	무주	5	16	0.414846286	-4.801991937
211	전라북도	부안군	4679	10411	16469	28268	28737	57005	0.568219078	1	부안	2	17	0.411367424	-5.05715109
212	전라북도	순창군	2577	5258	9193	14427	15522	29949	0.560643968	1	순창	3	20	1.828107783	-0.98896919
213	전라북도	완산구	48028	97772	45324	176778	185067	361845	2.119318683	0	전주 완산	3	19	1.145379928	-0.877551855
214	전라북도	완주군	10560	22480	18813	48950	46530	95480	1.12262797	0	완주	4	17	-1.267281106	-3.024911032
215	전라북도	익산시	35280	74968	48531	149740	150739	300479	1.453916054	0	익산	3	16	0.166234579	-2.939921033
216	전라북도	임실군	2354	5558	9552	15387	14810	30197	0.492881072	1	임실	4	19	-0.95539292	-7.64663548
217	전라북도	장수군	1902	4177	6974	11681	11947	23628	0.545454545	1	장수	5	17	0.562891485	-4.464926981
218	전라북도	정읍시	10614	22997	28228	57008	58165	115173	0.752019272	1	정읍	2	18	0.502287863	-3.846153846
219	전라북도	진안군	1998	4238	8133	13037	13032	26069	0.491331612	1	진안	4	18	-0.009589934	-2.85512034
220	제주특별자치도	서귀포시	18676	39298	30030	86568	84364	170932	1.243822844	0	서귀포	5	26	-0.644700817	-2.475952975
221	제주특별자치도	제주시	60255	124184	59159	235977	234688	470665	2.037052689	0	제주	5	25	-0.136933913	-1.479256587
222	충청남도	계룡시	5071	10317	3847	21148	21486	42634	2.636340005	0	계룡	4	14	0.396397242	-0.848114762
223	충청남도	공주시	10967	24195	24213	55221	54710	109931	0.905877008	1	공주	4	12	-0.232418517	-4.672452986
224	충청남도	금산군	4454	9902	14606	27558	27054	54612	0.609886348	1	금산	3	15	-0.461437047	-5.019188043
225	충청남도	논산시	11900	26011	28057	61724	61489	123213	0.848273158	1	논산	3	14	-0.095363314	-4.250124947
226	충청남도	당진시	19356	44326	27445	87388	79242	166630	1.410530151	0	당진	1	12	-2.444337754	-6.332626449
227	충청남도	동남구	35222	73245	30187	131135	127784	258919	2.333587306	0	천안 동남	2	11	-0.647113576	-1.91207591
228	충청남도	보령시	9590	21904	22968	52521	51352	103873	0.835074887	1	보령	2	13	-0.562706382	-6.218042367
229	충청남도	부여군	5348	12170	20772	34837	35350	70187	0.514923936	1	부여	2	14	0.365452292	-6.055875103
230	충청남도	서북구	57966	121489	26814	182987	176049	359036	4.323562318	0	천안 서북	3	11	-0.966198376	-2.287038333
231	충청남도	서산시	19196	42896	28030	87770	83018	170788	1.369675348	0	서산	1	13	-1.391198445	-5.249906751
232	충청남도	서천군	4142	9361	17584	27539	28473	56012	0.4711101	1	서천	2	15	0.833749911	-5.752590535
