	광역시도	시도	20-39세여자	20-39세합계	65세이상합계	인구수남자	인구수여자	인구수합계	소멸비율	소멸위기지역	ID	x	y	여성비	2030여성비
114	대구광역시	달서구	77782	164114	62977	294121	297770	591891	2.47017165	0	대구 달서	8	16	0.308249323	-2.604896596
115	대구광역시	달성군	29407	62844	24215	111194	107074	218268	2.428825108	0	대구 달성	9	16	-0.943793868	-3.206352237
116	대구광역시	동구	44155	93937	55767	174663	176689	351352	1.583552997	0	대구 동구	10	15	0.288314852	-2.995092456
117	대구광역시	북구	56497	118892	51156	220247	220136	440383	2.208812261	0	대구 북구	8	14	-0.012602666	-2.480402382
118	대구광역시	서구	22923	51430	33038	100760	98747	199507	1.387674799	0	대구 서구	8	15	-0.504493577	-5.428738091
119	대구광역시	수성구	52594	108158	56431	218317	228694	447011	1.864010916	0	대구 수성	10	14	1.160709692	-1.372991364
120	대구광역시	중구	11124	22710	15343	38720	40992	79712	1.450042365	0	대구 중구	9	14	1.42513047	-1.017173052
121	대전광역시	대덕구	24229	52136	22783	97879	94809	192688	2.126936751	0	대전 대덕	5	13	-0.796624595	-3.527313181
122	대전광역시	동구	29621	63636	35763	118911	116048	234959	1.656516511	0	대전 동구	5	14	-0.609255232	-3.4524483
123	대전광역시	서구	72077	146089	49080	242044	248967	491011	2.937123064	0	대전 서구	4	16	0.704974023	-0.662267522
124	대전광역시	유성구	51790	107801	25474	173072	170150	343222	4.066106619	0	대전 유성	4	15	-0.425672014	-1.957774047
125	대전광역시	중구	32108	66013	38468	125383	127107	252490	1.669335552	0	대전 중구	5	15	0.341399659	-1.361095542
126	부산광역시	강서구	16329	34216	12348	56287	52622	108909	2.644800777	0	부산 강서	8	18	-1.682597398	-2.276712649
127	부산광역시	금정구	30945	65802	39482	120291	124333	244624	1.56754977	0	부산 금정	10	16	0.826165871	-2.972554026
128	부산광역시	기장군	21569	43592	21056	78373	80154	158527	2.048727204	0	부산 기장	12	16	0.561733963	-0.52073775
129	부산광역시	남구	34852	72464	45778	137096	141683	278779	1.522652803	0	부산 남구	11	19	0.822694679	-1.904393906
130	부산광역시	동구	9778	21217	20334	44516	45310	89826	0.961738959	1	부산 동구	10	18	0.441965578	-3.914313993
131	부산광역시	동래구	34291	71076	40349	133890	138855	272745	1.699719943	0	부산 동래	11	16	0.910190838	-1.754460015
132	부산광역시	부산진구	52863	107863	60541	184213	192313	376526	1.746353711	0	부산 부산진	10	17	1.075622932	-0.990608457
133	부산광역시	북구	40630	85531	38522	154276	155926	310202	2.109443954	0	부산 북구	9	17	0.265955732	-2.496755562
134	부산광역시	사상구	30196	65246	30561	118419	114381	232800	1.976113347	0	부산 사상	9	18	-0.867268041	-3.719768262
135	부산광역시	사하구	42333	90495	46778	167290	167313	334603	1.809953397	0	부산 사하	10	19	0.003436909	-3.220619924
136	부산광역시	서구	13204	27370	23906	55469	57504	112973	1.104659918	0	부산 서구	9	19	0.900657679	-1.757398612
137	부산광역시	수영구	25153	50404	30831	85573	93751	179324	1.631669424	0	부산 수영	11	20	2.280230198	-0.097214507
138	부산광역시	연제구	27040	55185	31832	101330	105938	207268	1.698919326	0	부산 연제	11	17	1.1116043	-1.001177856
139	부산광역시	영도구	13183	28800	27192	62596	63766	126362	0.969623419	1	부산 영도	10	20	0.462955635	-4.225694444
